x (mm),altura (µm)
0.000000000,6.047128287
0.000356049,6.043699313
0.000712099,6.044270338
0.001068148,6.040841364
0.001424197,6.041412389
0.001780246,6.041983415
0.002136296,6.038554440
0.002492345,6.039125466
0.002848394,6.039696491
0.003204443,6.040267517
0.003560493,6.036838542
0.003916542,6.037409568
0.004272591,6.037980593
0.004628641,6.038551619
0.004984690,6.039122645
0.005340739,6.039693670
0.005696788,6.036264696
0.006052838,6.036835721
0.006408887,6.037406747
0.006764936,6.037977772
0.007120986,6.038548798
0.007477035,6.039119823
0.007833084,6.039690849
0.008189133,6.040261874
0.008545183,6.040832900
0.008901232,6.037403925
0.009257281,6.037974951
0.009613330,6.038545976
0.009969380,6.039117002
0.010325429,6.039688027
0.010681478,6.040259053
0.011037528,6.036830079
0.011393577,6.037401104
0.011749626,6.037972130
0.012105675,6.034543155
0.012461725,6.035114181
0.012817774,6.035685206
0.013173823,6.032256232
0.013529873,6.032827257
0.013885922,6.033398283
0.014241971,6.029969308
0.014598020,6.030540334
0.014954070,6.027111359
0.015310119,6.027682385
0.015666168,6.024253410
0.016022217,6.024824436
0.016378267,6.021395462
0.016734316,6.017966487
0.017090365,6.018537513
0.017446415,6.015108538
0.017802464,6.011679564
0.018158513,6.012250589
0.018514562,6.008821615
0.018870612,6.005392640
0.019226661,6.001963666
0.019582710,6.002534691
0.019938760,5.999105717
0.020294809,5.995676742
0.020650858,5.992247768
0.021006907,5.992818793
0.021362957,5.989389819
0.021719006,5.985960844
0.022075055,5.982531870
0.022431104,5.979102896
0.022787154,5.979673921
0.023143203,5.976244947
0.023499252,5.972815972
0.023855302,5.973386998
0.024211351,5.969958023
0.024567400,5.966529049
0.024923449,5.967100074
0.025279499,5.963671100
0.025635548,5.964242125
0.025991597,5.960813151
0.026347647,5.961384176
0.026703696,5.957955202
0.027059745,5.958526227
0.027415794,5.955097253
0.027771844,5.955668278
0.028127893,5.952239304
0.028483942,5.952810330
0.028839991,5.953381355
0.029196041,5.953952381
0.029552090,5.950523406
0.029908139,5.951094432
0.030264189,5.951665457
0.030620238,5.952236483
0.030976287,5.952807508
0.031332336,5.953378534
0.031688386,5.953949559
0.032044435,5.954520585
