x (mm),altura (µm)
0.000000000,-0.375651052
0.000356049,-0.377248800
0.000712099,-0.374850892
0.001068148,-0.376457329
0.001424197,-0.374068111
0.001780246,-0.371683238
0.002136296,-0.373302711
0.002492345,-0.370926529
0.002848394,-0.368554694
0.003204443,-0.366187203
0.003560493,-0.367824058
0.003916542,-0.365465257
0.004272591,-0.363110802
0.004628641,-0.360760691
0.004984690,-0.358414925
0.005340739,-0.356073503
0.005696788,-0.357736423
0.006052838,-0.355403687
0.006408887,-0.353075295
0.006764936,-0.350751243
0.007120986,-0.348431535
0.007477035,-0.346116166
0.007833084,-0.343805139
0.008189133,-0.341498451
0.008545183,-0.339196101
0.008901232,-0.340898091
0.009257281,-0.338604418
0.009613330,-0.336315082
0.009969380,-0.334030080
0.010325429,-0.331749415
0.010681478,-0.329473083
0.011037528,-0.331201084
0.011393577,-0.328933417
0.011749626,-0.326670080
0.012105675,-0.328411072
0.012461725,-0.326156392
0.012817774,-0.323906040
0.013173823,-0.325660013
0.013529873,-0.323418311
0.013885922,-0.321180932
0.014241971,-0.322947874
0.014598020,-0.320719137
0.014954070,-0.322494719
0.015310119,-0.320274617
0.015666168,-0.322058832
0.016022217,-0.319847360
0.016378267,-0.321640201
0.016734316,-0.323437353
0.017090365,-0.321238814
0.017446415,-0.323044582
0.017802464,-0.324854655
0.018158513,-0.322669031
0.018514562,-0.324487709
0.018870612,-0.326310687
0.019226661,-0.328137964
0.019582710,-0.325969536
0.019938760,-0.327805402
0.020294809,-0.329645559
0.020650858,-0.331490005
0.021006907,-0.329338737
0.021362957,-0.331191754
0.021719006,-0.333049054
0.022075055,-0.334910633
0.022431104,-0.336776491
0.022787154,-0.334646625
0.023143203,-0.336521030
0.023499252,-0.338399706
0.023855302,-0.336282649
0.024211351,-0.338169857
0.024567400,-0.340061326
0.024923449,-0.337957055
0.025279499,-0.339857041
0.025635548,-0.337761282
0.025991597,-0.339669774
0.026347647,-0.337582514
0.026703696,-0.339499499
0.027059745,-0.337420727
0.027415794,-0.339346193
0.027771844,-0.337275896
0.028127893,-0.339209831
0.028483942,-0.337147997
0.028839991,-0.335090389
0.029196041,-0.333037004
0.029552090,-0.334987840
0.029908139,-0.332942891
0.030264189,-0.330902156
0.030620238,-0.328865630
0.030976287,-0.326833312
0.031332336,-0.324805194
0.031688386,-0.322781277
0.032044435,-0.320761554
