x (mm),altura (µm)
0.000000000,-1.183374589
0.000356049,-1.183417846
0.000712099,-1.183461103
0.001068148,-1.183504360
0.001424197,-1.183547617
0.001780246,-1.179590873
0.002136296,-1.179634130
0.002492345,-1.179677387
0.002848394,-1.175720644
0.003204443,-1.175763901
0.003560493,-1.175807158
0.003916542,-1.175850415
0.004272591,-1.171893672
0.004628641,-1.167936928
0.004984690,-1.167980185
0.005340739,-1.164023442
0.005696788,-1.168066699
0.006052838,-1.164109956
0.006408887,-1.160153213
0.006764936,-1.160196470
0.007120986,-1.156239727
0.007477035,-1.156282983
0.007833084,-1.152326240
0.008189133,-1.152369497
0.008545183,-1.148412754
0.008901232,-1.148456011
0.009257281,-1.148499268
0.009613330,-1.144542525
0.009969380,-1.144585781
0.010325429,-1.140629038
0.010681478,-1.136672295
0.011037528,-1.140715552
0.011393577,-1.136758809
0.011749626,-1.136802066
0.012105675,-1.136845323
0.012461725,-1.136888580
0.012817774,-1.132931836
0.013173823,-1.132975093
0.013529873,-1.133018350
0.013885922,-1.129061607
0.014241971,-1.133104864
0.014598020,-1.129148121
0.014954070,-1.133191378
0.015310119,-1.129234634
0.015666168,-1.129277891
0.016022217,-1.129321148
0.016378267,-1.129364405
0.016734316,-1.133407662
0.017090365,-1.129450919
0.017446415,-1.129494176
0.017802464,-1.133537433
0.018158513,-1.129580689
0.018514562,-1.133623946
0.018870612,-1.133667203
0.019226661,-1.137710460
0.019582710,-1.133753717
0.019938760,-1.133796974
0.020294809,-1.137840231
0.020650858,-1.137883487
0.021006907,-1.137926744
0.021362957,-1.137970001
0.021719006,-1.142013258
0.022075055,-1.142056515
0.022431104,-1.142099772
0.022787154,-1.142143029
0.023143203,-1.142186286
0.023499252,-1.146229542
0.023855302,-1.142272799
0.024211351,-1.146316056
0.024567400,-1.146359313
0.024923449,-1.142402570
0.025279499,-1.146445827
0.025635548,-1.142489084
0.025991597,-1.146532340
0.026347647,-1.142575597
0.026703696,-1.146618854
0.027059745,-1.142662111
0.027415794,-1.142705368
0.027771844,-1.142748625
0.028127893,-1.142791882
0.028483942,-1.142835139
0.028839991,-1.138878395
0.029196041,-1.138921652
0.029552090,-1.138964909
0.029908139,-1.135008166
0.030264189,-1.135051423
0.030620238,-1.131094680
0.030976287,-1.131137937
0.031332336,-1.127181193
0.031688386,-1.127224450
0.032044435,-1.123267707
0.032400484,-1.119310964
0.032756534,-1.119354221
0.033112583,-1.115397478
0.033468632,-1.115440735
0.033824681,-1.111483992
0.034180731,-1.111527248
0.034536780,-1.107570505
0.034892829,-1.103613762
0.035248878,-1.103657019
0.035604928,-1.099700276
0.035960977,-1.095743533
