Parámetro,Valor
Ra (Promedio Aritmético),4.465 µm
Rq (RMS),8.195 µm
Rp (Pico Máximo),28.796 µm
Rv (Valle Máximo),-18.776 µm
Rz/Rt (Altura Total),47.572 µm
Rz (ISO 4287:1997),19.445 µm
Rsk (Asimetría),0.317
Rku (Curtosis),5.424
RSm (Anchura Media de Elementos),125.598 µm
Rpk (Altura de picos que se desgastan),5.515 µm
Rk (Profundidad del núcleo funcional),0.279 µm
Rvk (Profundidad de valles para lubricante),7.539 µm
Mr1 (%),39.67
Mr2 (%),72.61

Parámetro (ISO 16610/13565-2),Valor
Ra (ISO 16610),0.593 µm
Rq (ISO 16610),1.312 µm
Rp (ISO 16610),7.703 µm
Rv (ISO 16610),-3.894 µm
Rz/Rt (ISO 16610),11.597 µm
"Rz (ISO 4287:1997, perfil 16610)",5.043 µm
Rsk (ISO 16610),2.381
Rku (ISO 16610),14.227
RSm (ISO 16610),50.679 µm
"Rpk (ISO 13565-2, 16610)",0.799 µm
"Rk (ISO 13565-2, 16610)",0.103 µm
"Rvk (ISO 13565-2, 16610)",0.675 µm
"Mr1 (ISO 13565-2, 16610) (%)",32.04
"Mr2 (ISO 13565-2, 16610) (%)",62.51
λc (mm),0.800
Fuente filtrado,primary
