x (mm),altura (µm)
0.000000000,18.721886814
0.000356049,18.726623065
0.000712099,18.727359316
0.001068148,18.728095567
0.001424197,18.732831818
0.001780246,18.733568069
0.002136296,18.738304320
0.002492345,18.739040571
0.002848394,18.739776822
0.003204443,18.744513073
0.003560493,18.745249324
0.003916542,18.745985575
0.004272591,18.750721826
0.004628641,18.751458077
0.004984690,18.752194328
0.005340739,18.752930579
0.005696788,18.757666830
0.006052838,18.758403081
0.006408887,18.759139332
0.006764936,18.763875583
0.007120986,18.764611834
0.007477035,18.765348085
0.007833084,18.766084336
0.008189133,18.766820587
0.008545183,18.767556838
0.008901232,18.772293089
0.009257281,18.773029340
0.009613330,18.773765591
0.009969380,18.774501842
0.010325429,18.775238093
0.010681478,18.775974344
0.011037528,18.776710595
0.011393577,18.777446846
0.011749626,18.778183097
0.012105675,18.778919348
0.012461725,18.779655599
0.012817774,18.780391850
0.013173823,18.781128102
0.013529873,18.781864353
0.013885922,18.782600604
0.014241971,18.783336855
0.014598020,18.784073106
0.014954070,18.780809357
0.015310119,18.781545608
0.015666168,18.782281859
0.016022217,18.783018110
0.016378267,18.783754361
0.016734316,18.780490612
0.017090365,18.781226863
0.017446415,18.781963114
0.017802464,18.778699365
0.018158513,18.779435616
0.018514562,18.776171867
0.018870612,18.776908118
0.019226661,18.773644369
0.019582710,18.774380620
0.019938760,18.771116871
0.020294809,18.767853122
0.020650858,18.768589373
0.021006907,18.765325624
0.021362957,18.762061875
0.021719006,18.762798126
0.022075055,18.759534377
0.022431104,18.756270628
0.022787154,18.753006879
0.023143203,18.749743130
0.023499252,18.746479381
0.023855302,18.747215632
0.024211351,18.743951883
0.024567400,18.740688134
0.024923449,18.737424385
0.025279499,18.734160636
0.025635548,18.730896887
0.025991597,18.727633138
0.026347647,18.724369389
0.026703696,18.725105640
0.027059745,18.721841891
0.027415794,18.718578142
0.027771844,18.715314393
0.028127893,18.712050644
0.028483942,18.708786895
0.028839991,18.709523146
0.029196041,18.706259397
0.029552090,18.702995648
0.029908139,18.703731899
0.030264189,18.700468150
0.030620238,18.697204401
0.030976287,18.697940652
0.031332336,18.694676903
0.031688386,18.695413154
0.032044435,18.692149405
0.032400484,18.688885656
0.032756534,18.689621907
0.033112583,18.686358158
0.033468632,18.687094410
0.033824681,18.683830661
0.034180731,18.684566912
0.034536780,18.681303163
0.034892829,18.682039414
0.035248878,18.678775665
0.035604928,18.679511916
0.035960977,18.676248167
0.036317026,18.672984418
0.036673076,18.673720669
