x (mm),altura (µm)
0.000000000,-3.840709922
0.000356049,-3.839433955
0.000712099,-3.834157989
0.001068148,-3.832882023
0.001424197,-3.831606056
0.001780246,-3.830330090
0.002136296,-3.829054124
0.002492345,-3.827778157
0.002848394,-3.826502191
0.003204443,-3.825226225
0.003560493,-3.823950258
0.003916542,-3.822674292
0.004272591,-3.821398326
0.004628641,-3.816122359
0.004984690,-3.814846393
0.005340739,-3.813570427
0.005696788,-3.812294460
0.006052838,-3.811018494
0.006408887,-3.809742528
0.006764936,-3.808466561
0.007120986,-3.807190595
0.007477035,-3.805914629
0.007833084,-3.800638662
0.008189133,-3.799362696
0.008545183,-3.798086729
0.008901232,-3.792810763
0.009257281,-3.791534797
0.009613330,-3.786258830
0.009969380,-3.784982864
0.010325429,-3.779706898
0.010681478,-3.778430931
0.011037528,-3.773154965
0.011393577,-3.771878999
0.011749626,-3.766603032
0.012105675,-3.761327066
0.012461725,-3.756051100
0.012817774,-3.750775133
0.013173823,-3.745499167
0.013529873,-3.740223201
0.013885922,-3.734947234
0.014241971,-3.725671268
0.014598020,-3.720395302
0.014954070,-3.715119335
0.015310119,-3.705843369
0.015666168,-3.700567403
0.016022217,-3.691291436
0.016378267,-3.686015470
0.016734316,-3.676739504
0.017090365,-3.667463537
0.017446415,-3.662187571
0.017802464,-3.652911604
0.018158513,-3.643635638
0.018514562,-3.638359672
0.018870612,-3.629083705
0.019226661,-3.619807739
0.019582710,-3.610531773
0.019938760,-3.601255806
0.020294809,-3.595979840
0.020650858,-3.586703874
0.021006907,-3.581427907
0.021362957,-3.572151941
0.021719006,-3.562875975
0.022075055,-3.557600008
0.022431104,-3.548324042
0.022787154,-3.539048076
0.023143203,-3.533772109
0.023499252,-3.528496143
0.023855302,-3.519220177
0.024211351,-3.513944210
0.024567400,-3.504668244
0.024923449,-3.499392278
0.025279499,-3.494116311
0.025635548,-3.484840345
0.025991597,-3.479564379
0.026347647,-3.474288412
0.026703696,-3.469012446
0.027059745,-3.463736479
0.027415794,-3.458460513
0.027771844,-3.453184547
0.028127893,-3.447908580
0.028483942,-3.442632614
0.028839991,-3.437356648
0.029196041,-3.432080681
0.029552090,-3.426804715
0.029908139,-3.421528749
0.030264189,-3.416252782
0.030620238,-3.414976816
0.030976287,-3.409700850
0.031332336,-3.404424883
0.031688386,-3.399148917
0.032044435,-3.393872951
0.032400484,-3.388596984
0.032756534,-3.383321018
0.033112583,-3.382045052
0.033468632,-3.376769085
0.033824681,-3.371493119
0.034180731,-3.366217153
0.034536780,-3.360941186
0.034892829,-3.355665220
0.035248878,-3.350389254
0.035604928,-3.345113287
0.035960977,-3.339837321
0.036317026,-3.334561354
0.036673076,-3.329285388
0.037029125,-3.324009422
0.037385174,-3.318733455
0.037741223,-3.313457489
0.038097273,-3.308181523
0.038453322,-3.302905556
0.038809371,-3.297629590
0.039165420,-3.292353624
0.039521470,-3.287077657
0.039877519,-3.281801691
0.040233568,-3.276525725
0.040589618,-3.271249758
0.040945667,-3.261973792
0.041301716,-3.256697826
0.041657765,-3.251421859
0.042013815,-3.246145893
0.042369864,-3.240869927
0.042725913,-3.235593960
0.043081963,-3.230317994
0.043438012,-3.225042028
0.043794061,-3.219766061
0.044150110,-3.214490095
0.044506160,-3.209214129
0.044862209,-3.203938162
0.045218258,-3.198662196
0.045574307,-3.193386229
0.045930357,-3.188110263
0.046286406,-3.182834297
0.046642455,-3.177558330
0.046998505,-3.176282364
0.047354554,-3.171006398
0.047710603,-3.165730431
0.048066652,-3.160454465
0.048422702,-3.159178499
0.048778751,-3.153902532
0.049134800,-3.148626566
0.049490850,-3.147350600
0.049846899,-3.142074633
0.050202948,-3.136798667
0.050558997,-3.135522701
0.050915047,-3.130246734
0.051271096,-3.128970768
0.051627145,-3.123694802
0.051983194,-3.122418835
0.052339244,-3.117142869
0.052695293,-3.115866903
0.053051342,-3.110590936
0.053407392,-3.109314970
0.053763441,-3.108039004
0.054119490,-3.102763037
0.054475539,-3.101487071
0.054831589,-3.100211104
0.055187638,-3.094935138
0.055543687,-3.093659172
0.055899737,-3.088383205
0.056255786,-3.087107239
0.056611835,-3.085831273
0.056967884,-3.080555306
0.057323934,-3.079279340
0.057679983,-3.078003374
0.058036032,-3.072727407
0.058392081,-3.071451441
0.058748131,-3.070175475
0.059104180,-3.064899508
0.059460229,-3.063623542
0.059816279,-3.058347576
0.060172328,-3.057071609
0.060528377,-3.051795643
0.060884426,-3.050519677
0.061240476,-3.045243710
0.061596525,-3.039967744
0.061952574,-3.038691778
0.062308624,-3.033415811
0.062664673,-3.028139845
0.063020722,-3.026863879
0.063376771,-3.021587912
0.063732821,-3.016311946
0.064088870,-3.011035979
0.064444919,-3.009760013
0.064800968,-3.004484047
0.065157018,-2.999208080
0.065513067,-2.993932114
0.065869116,-2.988656148
0.066225166,-2.983380181
0.066581215,-2.978104215
0.066937264,-2.972828249
0.067293313,-2.967552282
0.067649363,-2.962276316
0.068005412,-2.957000350
0.068361461,-2.951724383
0.068717511,-2.946448417
0.069073560,-2.941172451
0.069429609,-2.939896484
0.069785658,-2.934620518
0.070141708,-2.929344552
0.070497757,-2.924068585
0.070853806,-2.918792619
0.071209855,-2.913516653
0.071565905,-2.908240686
0.071921954,-2.902964720
0.072278003,-2.901688754
0.072634053,-2.896412787
0.072990102,-2.891136821
0.073346151,-2.885860854
0.073702200,-2.884584888
0.074058250,-2.879308922
0.074414299,-2.878032955
0.074770348,-2.872756989
0.075126397,-2.867481023
0.075482447,-2.866205056
0.075838496,-2.860929090
0.076194545,-2.859653124
0.076550595,-2.854377157
0.076906644,-2.853101191
0.077262693,-2.851825225
0.077618742,-2.846549258
0.077974792,-2.845273292
0.078330841,-2.839997326
0.078686890,-2.838721359
0.079042940,-2.837445393
0.079398989,-2.832169427
0.079755038,-2.830893460
0.080111087,-2.829617494
0.080467137,-2.824341528
0.080823186,-2.823065561
0.081179235,-2.821789595
0.081535284,-2.816513629
0.081891334,-2.815237662
0.082247383,-2.813961696
0.082603432,-2.808685729
0.082959482,-2.807409763
0.083315531,-2.806133797
0.083671580,-2.800857830
0.084027629,-2.799581864
0.084383679,-2.798305898
0.084739728,-2.793029931
0.085095777,-2.791753965
0.085451827,-2.790477999
