x (mm),altura (µm)
0.000000000,-1.742222780
0.000356049,-1.742214210
0.000712099,-1.742205641
0.001068148,-1.742197072
0.001424197,-1.746188502
0.001780246,-1.746179933
0.002136296,-1.746171364
0.002492345,-1.750162794
0.002848394,-1.750154225
0.003204443,-1.750145656
0.003560493,-1.754137086
0.003916542,-1.754128517
0.004272591,-1.758119948
0.004628641,-1.754111379
0.004984690,-1.754102809
0.005340739,-1.758094240
0.005696788,-1.758085671
0.006052838,-1.758077101
0.006408887,-1.762068532
0.006764936,-1.762059963
0.007120986,-1.762051393
0.007477035,-1.766042824
0.007833084,-1.762034255
0.008189133,-1.766025685
0.008545183,-1.766017116
0.008901232,-1.762008547
0.009257281,-1.765999977
0.009613330,-1.761991408
0.009969380,-1.761982839
0.010325429,-1.761974269
0.010681478,-1.761965700
0.011037528,-1.761957131
0.011393577,-1.761948561
0.011749626,-1.757939992
0.012105675,-1.757931423
0.012461725,-1.753922853
0.012817774,-1.749914284
0.013173823,-1.749905715
0.013529873,-1.745897145
0.013885922,-1.741888576
0.014241971,-1.737880007
0.014598020,-1.733871437
0.014954070,-1.733862868
0.015310119,-1.725854299
0.015666168,-1.721845729
0.016022217,-1.717837160
0.016378267,-1.713828591
0.016734316,-1.705820021
0.017090365,-1.701811452
0.017446415,-1.697802883
0.017802464,-1.693794313
0.018158513,-1.685785744
0.018514562,-1.681777175
0.018870612,-1.677768605
0.019226661,-1.669760036
0.019582710,-1.661751467
0.019938760,-1.657742897
0.020294809,-1.653734328
0.020650858,-1.649725759
0.021006907,-1.645717189
0.021362957,-1.637708620
0.021719006,-1.633700051
0.022075055,-1.629691481
0.022431104,-1.621682912
0.022787154,-1.617674343
0.023143203,-1.613665773
0.023499252,-1.613657204
0.023855302,-1.605648635
0.024211351,-1.601640066
0.024567400,-1.597631496
0.024923449,-1.593622927
0.025279499,-1.589614358
0.025635548,-1.585605788
0.025991597,-1.581597219
0.026347647,-1.581588650
0.026703696,-1.577580080
0.027059745,-1.573571511
0.027415794,-1.573562942
0.027771844,-1.569554372
0.028127893,-1.565545803
0.028483942,-1.565537234
0.028839991,-1.561528664
0.029196041,-1.561520095
0.029552090,-1.557511526
0.029908139,-1.553502956
0.030264189,-1.553494387
0.030620238,-1.553485818
0.030976287,-1.553477248
0.031332336,-1.549468679
0.031688386,-1.545460110
0.032044435,-1.545451540
0.032400484,-1.541442971
0.032756534,-1.537434402
0.033112583,-1.541425832
0.033468632,-1.537417263
0.033824681,-1.537408694
0.034180731,-1.533400124
0.034536780,-1.529391555
0.034892829,-1.529382986
0.035248878,-1.525374416
0.035604928,-1.521365847
0.035960977,-1.521357278
0.036317026,-1.517348708
0.036673076,-1.517340139
0.037029125,-1.513331570
0.037385174,-1.509323000
0.037741223,-1.509314431
0.038097273,-1.505305862
0.038453322,-1.505297292
0.038809371,-1.501288723
0.039165420,-1.497280154
0.039521470,-1.497271584
0.039877519,-1.493263015
0.040233568,-1.489254446
0.040589618,-1.489245876
0.040945667,-1.481237307
0.041301716,-1.481228738
0.041657765,-1.477220168
0.042013815,-1.473211599
0.042369864,-1.473203030
0.042725913,-1.469194460
0.043081963,-1.469185891
0.043438012,-1.465177322
0.043794061,-1.461168753
0.044150110,-1.461160183
0.044506160,-1.457151614
0.044862209,-1.457143045
0.045218258,-1.453134475
0.045574307,-1.449125906
0.045930357,-1.449117337
0.046286406,-1.445108767
0.046642455,-1.441100198
0.046998505,-1.445091629
0.047354554,-1.441083059
0.047710603,-1.441074490
0.048066652,-1.437065921
0.048422702,-1.437057351
0.048778751,-1.437048782
0.049134800,-1.433040213
0.049490850,-1.437031643
0.049846899,-1.433023074
0.050202948,-1.429014505
0.050558997,-1.433005935
0.050915047,-1.428997366
0.051271096,-1.432988797
0.051627145,-1.428980227
0.051983194,-1.428971658
0.052339244,-1.428963089
0.052695293,-1.428954519
0.053051342,-1.424945950
0.053407392,-1.428937381
0.053763441,-1.428928811
0.054119490,-1.428920242
0.054475539,-1.428911673
0.054831589,-1.428903103
0.055187638,-1.428894534
0.055543687,-1.428885965
0.055899737,-1.428877395
0.056255786,-1.428868826
0.056611835,-1.428860257
0.056967884,-1.428851687
0.057323934,-1.428843118
0.057679983,-1.432834549
0.058036032,-1.428825979
0.058392081,-1.428817410
0.058748131,-1.432808841
0.059104180,-1.428800271
0.059460229,-1.432791702
0.059816279,-1.428783133
0.060172328,-1.428774563
0.060528377,-1.428765994
0.060884426,-1.428757425
0.061240476,-1.428748855
0.061596525,-1.424740286
0.061952574,-1.424731717
0.062308624,-1.424723148
0.062664673,-1.420714578
0.063020722,-1.424706009
0.063376771,-1.420697440
0.063732821,-1.416688870
0.064088870,-1.416680301
0.064444919,-1.416671732
0.064800968,-1.416663162
0.065157018,-1.412654593
0.065513067,-1.408646024
0.065869116,-1.408637454
0.066225166,-1.404628885
0.066581215,-1.404620316
0.066937264,-1.400611746
0.067293313,-1.396603177
0.067649363,-1.396594608
0.068005412,-1.392586038
0.068361461,-1.392577469
0.068717511,-1.388568900
0.069073560,-1.384560330
0.069429609,-1.388551761
0.069785658,-1.384543192
0.070141708,-1.384534622
0.070497757,-1.380526053
0.070853806,-1.376517484
0.071209855,-1.376508914
0.071565905,-1.372500345
0.071921954,-1.372491776
0.072278003,-1.372483206
0.072634053,-1.368474637
0.072990102,-1.368466068
0.073346151,-1.364457498
0.073702200,-1.368448929
0.074058250,-1.364440360
0.074414299,-1.364431790
0.074770348,-1.364423221
0.075126397,-1.360414652
0.075482447,-1.364406082
0.075838496,-1.360397513
0.076194545,-1.360388944
0.076550595,-1.360380374
0.076906644,-1.360371805
0.077262693,-1.364363236
0.077618742,-1.360354666
0.077974792,-1.360346097
0.078330841,-1.360337528
0.078686890,-1.360328958
0.079042940,-1.364320389
0.079398989,-1.360311820
0.079755038,-1.360303250
0.080111087,-1.364294681
0.080467137,-1.360286112
0.080823186,-1.364277542
0.081179235,-1.364268973
0.081535284,-1.360260404
0.081891334,-1.364251835
0.082247383,-1.364243265
0.082603432,-1.364234696
0.082959482,-1.364226127
0.083315531,-1.364217557
0.083671580,-1.364208988
0.084027629,-1.364200419
0.084383679,-1.368191849
0.084739728,-1.364183280
0.085095777,-1.368174711
0.085451827,-1.368166141
0.085807876,-1.364157572
0.086163925,-1.368149003
0.086519974,-1.364140433
0.086876024,-1.368131864
0.087232073,-1.364123295
0.087588122,-1.364114725
0.087944171,-1.368106156
0.088300221,-1.364097587
0.088656270,-1.368089017
0.089012319,-1.364080448
0.089368369,-1.364071879
