Parámetro,Valor
Ra (Promedio Aritmético),4.980 µm
Rq (RMS),8.818 µm
Rp (Pico Máximo),34.188 µm
Rv (Valle Máximo),-19.224 µm
Rz/Rt (Altura Total),53.412 µm
Rz (ISO 4287:1997),23.025 µm
Rsk (Asimetría),0.620
Rku (Curtosis),5.581
RSm (Anchura Media de Elementos),102.902 µm
Rpk (Altura de picos que se desgastan),6.056 µm
Rk (Profundidad del núcleo funcional),0.765 µm
Rvk (Profundidad de valles para lubricante),7.428 µm
Mr1 (%),35.78
Mr2 (%),69.76

Parámetro (ISO 16610/13565-2),Valor
Ra (ISO 16610),0.639 µm
Rq (ISO 16610),1.536 µm
Rp (ISO 16610),11.844 µm
Rv (ISO 16610),-3.587 µm
Rz/Rt (ISO 16610),15.432 µm
"Rz (ISO 4287:1997, perfil 16610)",7.084 µm
Rsk (ISO 16610),4.105
Rku (ISO 16610),28.843
RSm (ISO 16610),67.586 µm
"Rpk (ISO 13565-2, 16610)",0.952 µm
"Rk (ISO 13565-2, 16610)",0.152 µm
"Rvk (ISO 13565-2, 16610)",0.602 µm
"Mr1 (ISO 13565-2, 16610) (%)",27.85
"Mr2 (ISO 13565-2, 16610) (%)",58.60
λc (mm),0.800
Fuente filtrado,primary
