x (mm),altura (µm)
0.000000000,1.292786869
0.000356049,1.294499055
0.000712099,1.296211240
0.001068148,1.297923426
0.001424197,1.303635612
0.001780246,1.305347798
0.002136296,1.307059984
0.002492345,1.308772170
0.002848394,1.310484356
0.003204443,1.316196541
0.003560493,1.317908727
0.003916542,1.319620913
0.004272591,1.321333099
0.004628641,1.323045285
0.004984690,1.324757471
0.005340739,1.330469657
0.005696788,1.332181842
0.006052838,1.333894028
0.006408887,1.339606214
0.006764936,1.341318400
0.007120986,1.343030586
0.007477035,1.344742772
0.007833084,1.350454957
0.008189133,1.352167143
0.008545183,1.353879329
0.008901232,1.359591515
0.009257281,1.361303701
0.009613330,1.363015887
0.009969380,1.368728073
0.010325429,1.370440258
0.010681478,1.372152444
0.011037528,1.377864630
0.011393577,1.379576816
0.011749626,1.381289002
0.012105675,1.387001188
0.012461725,1.388713374
0.012817774,1.390425559
0.013173823,1.396137745
0.013529873,1.397849931
0.013885922,1.399562117
0.014241971,1.401274303
0.014598020,1.402986489
0.014954070,1.408698675
0.015310119,1.410410860
0.015666168,1.412123046
0.016022217,1.413835232
0.016378267,1.415547418
0.016734316,1.417259604
0.017090365,1.418971790
0.017446415,1.420683976
0.017802464,1.422396161
0.018158513,1.424108347
0.018514562,1.425820533
0.018870612,1.427532719
0.019226661,1.429244905
0.019582710,1.426957091
0.019938760,1.428669277
0.020294809,1.430381462
0.020650858,1.432093648
0.021006907,1.433805834
0.021362957,1.435518020
0.021719006,1.433230206
0.022075055,1.434942392
0.022431104,1.436654578
0.022787154,1.438366763
0.023143203,1.436078949
0.023499252,1.437791135
0.023855302,1.439503321
0.024211351,1.441215507
0.024567400,1.438927693
0.024923449,1.440639879
0.025279499,1.442352064
0.025635548,1.444064250
0.025991597,1.441776436
0.026347647,1.443488622
0.026703696,1.445200808
0.027059745,1.446912994
0.027415794,1.444625180
0.027771844,1.446337365
0.028127893,1.448049551
0.028483942,1.445761737
0.028839991,1.447473923
0.029196041,1.449186109
0.029552090,1.450898295
0.029908139,1.448610481
0.030264189,1.450322666
0.030620238,1.452034852
0.030976287,1.453747038
0.031332336,1.455459224
0.031688386,1.457171410
0.032044435,1.458883596
0.032400484,1.460595782
0.032756534,1.462307967
0.033112583,1.464020153
0.033468632,1.465732339
0.033824681,1.467444525
0.034180731,1.469156711
0.034536780,1.474868897
0.034892829,1.476581083
0.035248878,1.478293268
0.035604928,1.484005454
0.035960977,1.485717640
0.036317026,1.491429826
0.036673076,1.493142012
0.037029125,1.498854198
0.037385174,1.500566384
0.037741223,1.506278569
0.038097273,1.511990755
0.038453322,1.513702941
0.038809371,1.519415127
0.039165420,1.525127313
0.039521470,1.526839499
0.039877519,1.532551685
0.040233568,1.538263870
0.040589618,1.543976056
0.040945667,1.549688242
0.041301716,1.551400428
0.041657765,1.557112614
0.042013815,1.562824800
0.042369864,1.568536986
0.042725913,1.570249171
0.043081963,1.575961357
0.043438012,1.581673543
0.043794061,1.583385729
0.044150110,1.589097915
0.044506160,1.590810101
0.044862209,1.596522287
0.045218258,1.598234472
0.045574307,1.603946658
0.045930357,1.605658844
0.046286406,1.607371030
0.046642455,1.613083216
0.046998505,1.614795402
0.047354554,1.616507588
0.047710603,1.618219773
0.048066652,1.619931959
0.048422702,1.617644145
0.048778751,1.619356331
0.049134800,1.621068517
0.049490850,1.622780703
0.049846899,1.624492889
0.050202948,1.622205074
0.050558997,1.623917260
