x (mm),altura (µm)
0.000000000,-0.500221482
0.000356049,-0.498316539
0.000712099,-0.496417136
0.001068148,-0.494523271
0.001424197,-0.488634942
0.001780246,-0.486752150
0.002136296,-0.484874895
0.002492345,-0.483003176
0.002848394,-0.481136989
0.003204443,-0.475276337
0.003560493,-0.473421217
0.003916542,-0.471571629
0.004272591,-0.469727572
0.004628641,-0.467889045
0.004984690,-0.466056044
0.005340739,-0.460228570
0.005696788,-0.458406622
0.006052838,-0.456590198
0.006408887,-0.450779296
0.006764936,-0.448973916
0.007120986,-0.447174055
0.007477035,-0.445379711
0.007833084,-0.439590884
0.008189133,-0.437807569
0.008545183,-0.436029766
0.008901232,-0.430257473
0.009257281,-0.428490689
0.009613330,-0.426729411
0.009969380,-0.420973636
0.010325429,-0.419223363
0.010681478,-0.417478590
0.011037528,-0.411739314
0.011393577,-0.410005530
0.011749626,-0.408277239
0.012105675,-0.402554437
0.012461725,-0.400837123
0.012817774,-0.399125290
0.013173823,-0.393418940
0.013529873,-0.391718067
0.013885922,-0.390022671
0.014241971,-0.388332746
0.014598020,-0.386648291
0.014954070,-0.380969302
0.015310119,-0.379295775
0.015666168,-0.377627709
0.016022217,-0.375965100
0.016378267,-0.374307943
0.016734316,-0.372656236
0.017090365,-0.371009976
0.017446415,-0.369369158
0.017802464,-0.367733780
0.018158513,-0.366103836
0.018514562,-0.364479324
0.018870612,-0.362860240
0.019226661,-0.361246580
0.019582710,-0.363638341
0.019938760,-0.362035517
0.020294809,-0.360438106
0.020650858,-0.358846103
0.021006907,-0.357259503
0.021362957,-0.355678303
0.021719006,-0.358102498
0.022075055,-0.356532084
0.022431104,-0.354967057
0.022787154,-0.353407411
0.023143203,-0.355853143
0.023499252,-0.354304247
0.023855302,-0.352760720
0.024211351,-0.351222556
0.024567400,-0.353689751
0.024923449,-0.352162299
0.025279499,-0.350640197
0.025635548,-0.349123438
0.025991597,-0.351612018
0.026347647,-0.350105931
0.026703696,-0.348605174
0.027059745,-0.347109739
0.027415794,-0.349619623
0.027771844,-0.348134821
0.028127893,-0.346655325
0.028483942,-0.349181132
0.028839991,-0.347712237
0.029196041,-0.346248631
0.029552090,-0.344790311
0.029908139,-0.347337271
0.030264189,-0.345889504
0.030620238,-0.344447006
0.030976287,-0.343009770
0.031332336,-0.341577792
0.031688386,-0.340151062
