x (mm),altura (µm)
0.000000000,-9.431433211
0.000391420,-9.428308785
0.000782840,-9.425184360
0.001174260,-9.422059935
0.001565680,-9.414935509
0.001957100,-9.411811084
0.002348520,-9.408686659
0.002739941,-9.405562233
0.003131361,-9.402437808
0.003522781,-9.399313383
0.003914201,-9.392188957
0.004305621,-9.389064532
0.004697041,-9.385940107
0.005088461,-9.382815682
0.005479881,-9.379691256
0.005871301,-9.372566831
0.006262721,-9.369442406
0.006654141,-9.366317980
0.007045561,-9.363193555
0.007436981,-9.356069130
0.007828401,-9.352944704
0.008219822,-9.349820279
0.008611242,-9.346695854
0.009002662,-9.343571428
0.009394082,-9.340447003
0.009785502,-9.333322578
0.010176922,-9.330198152
0.010568342,-9.327073727
0.010959762,-9.323949302
0.011351182,-9.320824877
0.011742602,-9.317700451
0.012134022,-9.314576026
0.012525442,-9.311451601
0.012916862,-9.308327175
0.013308282,-9.305202750
0.013699703,-9.298078325
0.014091123,-9.294953899
0.014482543,-9.291829474
0.014873963,-9.288705049
0.015265383,-9.285580623
0.015656803,-9.282456198
0.016048223,-9.279331773
0.016439643,-9.276207347
0.016831063,-9.273082922
0.017222483,-9.269958497
0.017613903,-9.266834072
0.018005323,-9.259709646
0.018396743,-9.256585221
0.018788163,-9.253460796
0.019179584,-9.250336370
0.019571004,-9.247211945
0.019962424,-9.244087520
0.020353844,-9.240963094
0.020745264,-9.233838669
0.021136684,-9.230714244
0.021528104,-9.227589818
0.021919524,-9.224465393
0.022310944,-9.221340968
0.022702364,-9.214216542
0.023093784,-9.211092117
0.023485204,-9.207967692
0.023876624,-9.204843267
0.024268044,-9.201718841
0.024659465,-9.198594416
0.025050885,-9.191469991
0.025442305,-9.188345565
0.025833725,-9.185221140
0.026225145,-9.182096715
0.026616565,-9.178972289
0.027007985,-9.175847864
0.027399405,-9.168723439
0.027790825,-9.165599013
0.028182245,-9.162474588
0.028573665,-9.159350163
0.028965085,-9.156225737
0.029356505,-9.153101312
0.029747925,-9.149976887
0.030139346,-9.146852462
0.030530766,-9.143728036
0.030922186,-9.140603611
0.031313606,-9.137479186
0.031705026,-9.134354760
0.032096446,-9.135230335
0.032487866,-9.132105910
0.032879286,-9.128981484
0.033270706,-9.125857059
0.033662126,-9.122732634
0.034053546,-9.123608208
0.034444966,-9.120483783
0.034836386,-9.117359358
0.035227806,-9.118234932
0.035619227,-9.115110507
0.036010647,-9.111986082
0.036402067,-9.112861657
0.036793487,-9.109737231
0.037184907,-9.110612806
0.037576327,-9.107488381
0.037967747,-9.108363955
0.038359167,-9.105239530
0.038750587,-9.106115105
0.039142007,-9.106990679
0.039533427,-9.103866254
0.039924847,-9.104741829
0.040316267,-9.105617403
0.040707687,-9.102492978
0.041099108,-9.103368553
0.041490528,-9.104244127
0.041881948,-9.101119702
0.042273368,-9.101995277
0.042664788,-9.102870852
0.043056208,-9.103746426
0.043447628,-9.100622001
0.043839048,-9.101497576
0.044230468,-9.102373150
0.044621888,-9.103248725
0.045013308,-9.104124300
0.045404728,-9.100999874
0.045796148,-9.101875449
0.046187568,-9.102751024
0.046578989,-9.099626598
0.046970409,-9.100502173
0.047361829,-9.101377748
0.047753249,-9.102253322
0.048144669,-9.099128897
0.048536089,-9.100004472
0.048927509,-9.100880047
0.049318929,-9.097755621
0.049710349,-9.098631196
0.050101769,-9.095506771
0.050493189,-9.096382345
0.050884609,-9.093257920
0.051276029,-9.094133495
0.051667450,-9.091009069
0.052058870,-9.091884644
0.052450290,-9.088760219
0.052841710,-9.085635793
0.053233130,-9.086511368
0.053624550,-9.083386943
0.054015970,-9.080262517
0.054407390,-9.077138092
0.054798810,-9.078013667
0.055190230,-9.074889242
0.055581650,-9.071764816
0.055973070,-9.068640391
0.056364490,-9.065515966
0.056755910,-9.062391540
0.057147331,-9.059267115
0.057538751,-9.056142690
0.057930171,-9.053018264
0.058321591,-9.049893839
0.058713011,-9.046769414
0.059104431,-9.043644988
0.059495851,-9.040520563
0.059887271,-9.037396138
0.060278691,-9.034271712
0.060670111,-9.031147287
0.061061531,-9.028022862
0.061452951,-9.024898437
0.061844371,-9.021774011
0.062235791,-9.018649586
0.062627212,-9.015525161
0.063018632,-9.012400735
0.063410052,-9.009276310
0.063801472,-9.006151885
0.064192892,-9.003027459
0.064584312,-8.999903034
0.064975732,-8.996778609
0.065367152,-8.993654183
0.065758572,-8.990529758
0.066149992,-8.991405333
0.066541412,-8.988280907
0.066932832,-8.985156482
0.067324252,-8.982032057
0.067715672,-8.978907632
0.068107093,-8.975783206
0.068498513,-8.972658781
0.068889933,-8.973534356
0.069281353,-8.970409930
0.069672773,-8.967285505
0.070064193,-8.964161080
0.070455613,-8.961036654
0.070847033,-8.957912229
0.071238453,-8.958787804
0.071629873,-8.955663378
0.072021293,-8.952538953
0.072412713,-8.949414528
0.072804133,-8.950290102
0.073195553,-8.947165677
0.073586974,-8.944041252
0.073978394,-8.944916827
0.074369814,-8.941792401
0.074761234,-8.938667976
0.075152654,-8.939543551
0.075544074,-8.936419125
0.075935494,-8.933294700
0.076326914,-8.934170275
0.076718334,-8.931045849
0.077109754,-8.927921424
0.077501174,-8.924796999
0.077892594,-8.925672573
0.078284014,-8.922548148
0.078675434,-8.919423723
0.079066855,-8.916299297
0.079458275,-8.917174872
0.079849695,-8.914050447
0.080241115,-8.910926022
0.080632535,-8.907801596
0.081023955,-8.904677171
0.081415375,-8.901552746
0.081806795,-8.898428320
0.082198215,-8.895303895
0.082589635,-8.888179470
0.082981055,-8.885055044
0.083372475,-8.881930619
0.083763895,-8.874806194
0.084155315,-8.871681768
0.084546736,-8.868557343
0.084938156,-8.861432918
0.085329576,-8.854308492
0.085720996,-8.851184067
0.086112416,-8.844059642
0.086503836,-8.836935217
0.086895256,-8.833810791
0.087286676,-8.826686366
0.087678096,-8.819561941
0.088069516,-8.812437515
0.088460936,-8.805313090
0.088852356,-8.798188665
0.089243776,-8.787064239
0.089635196,-8.779939814
0.090026617,-8.772815389
0.090418037,-8.765690963
0.090809457,-8.758566538
0.091200877,-8.751442113
0.091592297,-8.740317687
0.091983717,-8.733193262
0.092375137,-8.726068837
0.092766557,-8.714944412
0.093157977,-8.707819986
0.093549397,-8.700695561
0.093940817,-8.693571136
0.094332237,-8.682446710
0.094723657,-8.675322285
0.095115078,-8.668197860
0.095506498,-8.657073434
0.095897918,-8.649949009
0.096289338,-8.642824584
0.096680758,-8.635700158
0.097072178,-8.628575733
0.097463598,-8.621451308
0.097855018,-8.614326882
0.098246438,-8.607202457
0.098637858,-8.600078032
0.099029278,-8.592953607
0.099420698,-8.585829181
0.099812118,-8.582704756
0.100203538,-8.575580331
0.100594959,-8.568455905
0.100986379,-8.565331480
0.101377799,-8.562207055
0.101769219,-8.555082629
0.102160639,-8.551958204
0.102552059,-8.548833779
0.102943479,-8.545709353
0.103334899,-8.542584928
0.103726319,-8.539460503
0.104117739,-8.536336077
0.104509159,-8.533211652
0.104900579,-8.530087227
0.105291999,-8.530962802
0.105683419,-8.527838376
0.106074840,-8.524713951
0.106466260,-8.525589526
0.106857680,-8.522465100
0.107249100,-8.523340675
0.107640520,-8.524216250
0.108031940,-8.521091824
0.108423360,-8.521967399
0.108814780,-8.522842974
0.109206200,-8.523718548
0.109597620,-8.524594123
0.109989040,-8.521469698
0.110380460,-8.522345272
0.110771880,-8.523220847
0.111163300,-8.524096422
0.111554721,-8.524971997
0.111946141,-8.525847571
0.112337561,-8.526723146
0.112728981,-8.527598721
0.113120401,-8.528474295
0.113511821,-8.529349870
0.113903241,-8.530225445
0.114294661,-8.531101019
0.114686081,-8.531976594
0.115077501,-8.532852169
0.115468921,-8.533727743
0.115860341,-8.534603318
0.116251761,-8.535478893
0.116643181,-8.536354467
0.117034602,-8.537230042
0.117426022,-8.538105617
0.117817442,-8.538981191
0.118208862,-8.543856766
0.118600282,-8.544732341
0.118991702,-8.545607916
0.119383122,-8.546483490
0.119774542,-8.547359065
0.120165962,-8.548234640
0.120557382,-8.553110214
0.120948802,-8.553985789
0.121340222,-8.554861364
0.121731642,-8.555736938
0.122123062,-8.560612513
0.122514483,-8.561488088
0.122905903,-8.562363662
0.123297323,-8.567239237
0.123688743,-8.568114812
0.124080163,-8.568990386
0.124471583,-8.573865961
0.124863003,-8.574741536
0.125254423,-8.575617111
0.125645843,-8.576492685
0.126037263,-8.577368260
0.126428683,-8.582243835
0.126820103,-8.583119409
0.127211523,-8.583994984
