x (mm),altura (µm)
0.000000000,0.052818899
0.000391420,0.053144182
0.000782840,0.053470958
0.001174260,0.053799234
0.001565680,0.058129013
0.001957100,0.058460295
0.002348520,0.058793088
0.002739941,0.059127393
0.003131361,0.059463212
0.003522781,0.059800551
0.003914201,0.064139412
0.004305621,0.064479799
0.004697041,0.064821714
0.005088461,0.065165162
0.005479881,0.065510145
0.005871301,0.069856668
0.006262721,0.070204733
0.006654141,0.070554343
0.007045561,0.070905502
0.007436981,0.075258213
0.007828401,0.075612479
0.008219822,0.075968304
0.008611242,0.076325689
0.009002662,0.076684639
0.009394082,0.077045157
0.009785502,0.081407245
0.010176922,0.081770907
0.010568342,0.082136144
0.010959762,0.082502963
0.011351182,0.082871362
0.011742602,0.083241347
0.012134022,0.083612920
0.012525442,0.083986086
0.012916862,0.084360846
0.013308282,0.084737203
0.013699703,0.089115159
0.014091123,0.089494718
0.014482543,0.089875884
0.014873963,0.090258656
0.015265383,0.090643040
0.015656803,0.091029039
0.016048223,0.091416653
0.016439643,0.091805887
0.016831063,0.092196742
0.017222483,0.092589223
0.017613903,0.092983330
0.018005323,0.097379068
0.018396743,0.097776438
0.018788163,0.098175442
0.019179584,0.098576083
0.019571004,0.098978365
0.019962424,0.099382289
0.020353844,0.099787858
0.020745264,0.104195074
0.021136684,0.104603940
0.021528104,0.105014458
0.021919524,0.105426632
0.022310944,0.105840463
0.022702364,0.110255954
0.023093784,0.110673106
0.023485204,0.111091923
0.023876624,0.111512406
0.024268044,0.111934558
0.024659465,0.112358382
0.025050885,0.116783878
0.025442305,0.117211053
0.025833725,0.117639905
0.026225145,0.118070438
0.026616565,0.118502653
0.027007985,0.118936553
0.027399405,0.123372139
0.027790825,0.123809416
0.028182245,0.124248385
0.028573665,0.124689046
0.028965085,0.125131402
0.029356505,0.125575458
0.029747925,0.126021213
0.030139346,0.126468669
0.030530766,0.126917830
0.030922186,0.127368696
0.031313606,0.127821271
0.031705026,0.128275555
0.032096446,0.124731550
0.032487866,0.125189259
0.032879286,0.125648684
0.033270706,0.126109824
0.033662126,0.126572684
0.034053546,0.123037265
0.034444966,0.123503566
0.034836386,0.123971594
0.035227806,0.120441346
0.035619227,0.120912824
0.036010647,0.121386031
0.036402067,0.117860970
0.036793487,0.118337640
0.037184907,0.114816043
0.037576327,0.115296181
0.037967747,0.111778054
0.038359167,0.112261665
0.038750587,0.108747015
0.039142007,0.105234108
0.039533427,0.105722942
0.039924847,0.102213519
0.040316267,0.098705840
0.040707687,0.099199908
0.041099108,0.095695722
0.041490528,0.092193285
0.041881948,0.092692597
0.042273368,0.089193660
0.042664788,0.085696475
0.043056208,0.082201043
0.043447628,0.082707365
0.043839048,0.079215443
0.044230468,0.075725277
0.044621888,0.072236868
0.045013308,0.068750218
0.045404728,0.069265328
0.045796148,0.065782197
0.046187568,0.062300828
0.046578989,0.062821224
0.046970409,0.059343382
0.047361829,0.055867305
0.047753249,0.052392992
0.048144669,0.052920445
0.048536089,0.049449665
0.048927509,0.045980654
0.049318929,0.046513410
0.049710349,0.043047936
0.050101769,0.043584230
0.050493189,0.040122295
0.050884609,0.040662130
0.051276029,0.037203738
0.051667450,0.037747118
0.052058870,0.034292270
0.052450290,0.034839195
0.052841710,0.035387893
0.053233130,0.031938364
0.053624550,0.032490610
0.054015970,0.033044630
0.054407390,0.033600425
0.054798810,0.030157995
0.055190230,0.030717340
0.055581650,0.031278461
0.055973070,0.031841358
0.056364490,0.032406032
0.056755910,0.032972484
0.057147331,0.033540711
0.057538751,0.034110716
0.057930171,0.034682497
0.058321591,0.035256054
0.058713011,0.035831389
0.059104431,0.036408500
0.059495851,0.036987389
0.059887271,0.037568053
0.060278691,0.038150495
0.060670111,0.038734713
0.061061531,0.039320710
0.061452951,0.039908482
0.061844371,0.040498031
0.062235791,0.041089356
0.062627212,0.041682457
0.063018632,0.042277334
0.063410052,0.042873987
0.063801472,0.043472415
0.064192892,0.044072617
0.064584312,0.044674595
0.064975732,0.045278346
0.065367152,0.045883871
0.065758572,0.046491170
0.066149992,0.043100241
0.066541412,0.043711084
0.066932832,0.044323700
0.067324252,0.044938087
0.067715672,0.045554243
0.068107093,0.046172171
0.068498513,0.046791867
0.068889933,0.043413331
0.069281353,0.044036564
0.069672773,0.044661564
0.070064193,0.045288331
0.070455613,0.045916862
0.070847033,0.046547158
0.071238453,0.043179218
0.071629873,0.043813041
0.072021293,0.044448627
0.072412713,0.045085973
0.072804133,0.041725078
0.073195553,0.042365944
0.073586974,0.043008567
0.073978394,0.039652947
0.074369814,0.040299083
0.074761234,0.040946973
0.075152654,0.037596617
0.075544074,0.038248013
0.075935494,0.038901161
0.076326914,0.035556058
0.076718334,0.036212702
0.077109754,0.036871096
0.077501174,0.037531234
0.077892594,0.034193118
0.078284014,0.034856745
0.078675434,0.035522112
0.079066855,0.036189221
0.079458275,0.032858068
0.079849695,0.033528651
0.080241115,0.034200970
0.080632535,0.034875024
0.081023955,0.035550809
0.081415375,0.036228325
0.081806795,0.036907570
0.082198215,0.037588541
0.082589635,0.042271237
0.082981055,0.042955657
0.083372475,0.043641799
0.083763895,0.048329660
0.084155315,0.049019240
0.084546736,0.049710536
0.084938156,0.054403546
0.085329576,0.059098268
0.085720996,0.059794701
0.086112416,0.064492841
0.086503836,0.069192687
0.086895256,0.069894237
0.087286676,0.074597488
0.087678096,0.079302440
0.088069516,0.084009090
0.088460936,0.088717433
0.088852356,0.093427471
0.089243776,0.102139201
0.089635196,0.106852618
0.090026617,0.111567723
0.090418037,0.116284511
0.090809457,0.121002981
0.091200877,0.125723130
0.091592297,0.134444957
0.091983717,0.139168460
0.092375137,0.143893634
0.092766557,0.152620479
0.093157977,0.157348993
0.093549397,0.162079170
0.093940817,0.166811012
0.094332237,0.175544514
0.094723657,0.180279674
0.095115078,0.185016488
0.095506498,0.193754956
0.095897918,0.198495074
0.096289338,0.203236840
0.096680758,0.207980252
0.097072178,0.212725306
0.097463598,0.217471999
0.097855018,0.222220330
0.098246438,0.226970296
0.098637858,0.231721893
0.099029278,0.236475119
0.099420698,0.241229970
0.099812118,0.241986445
0.100203538,0.246744540
0.100594959,0.251504252
0.100986379,0.252265578
0.101377799,0.253028516
0.101769219,0.257793062
0.102160639,0.258559213
0.102552059,0.259326967
0.102943479,0.260096320
0.103334899,0.260867269
0.103726319,0.261639811
0.104117739,0.262413941
0.104509159,0.263189658
0.104900579,0.263966958
0.105291999,0.260745839
0.105683419,0.261526297
0.106074840,0.262308329
0.106466260,0.259091932
0.106857680,0.259877102
0.107249100,0.256663836
0.107640520,0.253452131
0.108031940,0.254241984
0.108423360,0.251033390
0.108814780,0.247826348
0.109206200,0.244620852
0.109597620,0.241416900
0.109989040,0.242214489
0.110380460,0.239013614
0.110771880,0.235814273
0.111163300,0.232616462
0.111554721,0.229420179
0.111946141,0.226225419
0.112337561,0.223032178
0.112728981,0.219840453
0.113120401,0.216650240
0.113511821,0.213461537
0.113903241,0.210274339
0.114294661,0.207088642
0.114686081,0.203904445
0.115077501,0.200721741
0.115468921,0.197540527
0.115860341,0.194360802
0.116251761,0.191182559
0.116643181,0.188005797
0.117034602,0.184830509
0.117426022,0.181656693
0.117817442,0.178484346
0.118208862,0.171313465
0.118600282,0.168144043
0.118991702,0.164976079
0.119383122,0.161809567
0.119774542,0.158644504
0.120165962,0.155480886
0.120557382,0.148318710
0.120948802,0.145157969
0.121340222,0.141998663
0.121731642,0.138840785
0.122123062,0.131684334
0.122514483,0.128529304
0.122905903,0.125375690
0.123297323,0.118223491
0.123688743,0.115072699
0.124080163,0.111923313
0.124471583,0.104775327
0.124863003,0.101628739
0.125254423,0.098483544
0.125645843,0.095339736
0.126037263,0.092197314
0.126428683,0.085056271
0.126820103,0.081916604
0.127211523,0.078778309
0.127602943,0.075641381
0.127994364,0.072505816
0.128385784,0.069371611
0.128777204,0.066238760
0.129168624,0.063107260
0.129560044,0.059977106
0.129951464,0.056848294
0.130342884,0.053720819
0.130734304,0.050594678
0.131125724,0.051469865
0.131517144,0.048346378
0.131908564,0.045224210
0.132299984,0.042103359
0.132691404,0.042983819
0.133082824,0.039865585
0.133474245,0.036748654
0.133865665,0.037633021
0.134257085,0.034518683
0.134648505,0.035405633
0.135039925,0.032293869
0.135431345,0.033183385
0.135822765,0.030074176
0.136214185,0.030966240
0.136605605,0.027859570
0.136997025,0.028754162
0.137388445,0.029650011
0.137779865,0.026547114
0.138171285,0.027445466
0.138562705,0.024345062
0.138954126,0.025245896
0.139345546,0.022147968
0.139736966,0.023051269
0.140128386,0.023955796
0.140519806,0.020861543
0.140911226,0.021768509
0.141302646,0.022676687
0.141694066,0.019586072
0.142085486,0.020496659
0.142476906,0.021408444
0.142868326,0.018321425
0.143259746,0.019235594
0.143651166,0.020150948
0.144042587,0.017067481
0.144434007,0.017985191
0.144825427,0.018904071
0.145216847,0.019824116
0.145608267,0.020745323
0.145999687,0.017667687
0.146391107,0.018591203
0.146782527,0.019515867
0.147173947,0.020441674
0.147565367,0.017368619
0.147956787,0.018296697
0.148348207,0.019225905
0.148739627,0.020156237
0.149131047,0.021087689
0.149522468,0.018020256
0.149913888,0.018953934
0.150305308,0.019888717
0.150696728,0.020824602
0.151088148,0.017761582
0.151479568,0.018699655
0.151870988,0.019638814
0.152262408,0.020579054
0.152653828,0.017520373
0.153045248,0.018462766
0.153436668,0.015406226
0.153828088,0.016350750
0.154219508,0.017296332
0.154610928,0.014242969
0.155002349,0.015190654
0.155393769,0.012139385
0.155785189,0.013089155
0.156176609,0.010039961
0.156568029,0.010991798
0.156959449,0.007944660
0.157350869,0.008898544
0.157742289,0.005853443
0.158133709,0.002809355
0.158525129,0.003766275
0.158916549,0.000724196
0.159307969,0.001683115
0.159699389,-0.001356972
0.160090809,-0.004396072
0.160482230,-0.003434188
0.160873650,-0.006471324
0.161265070,-0.005507485
0.161656490,-0.008542678
0.162047910,-0.011576905
0.162439330,-0.010610172
0.162830750,-0.013642482
