Parámetro,Valor
Ra (Promedio Aritmético),3.217 µm
Rq (RMS),6.811 µm
Rp (Pico Máximo),17.308 µm
Rv (Valle Máximo),-36.704 µm
Rz/Rt (Altura Total),54.012 µm
Rz (ISO 4287:1997),17.741 µm
Rsk (Asimetría),-1.985
Rku (Curtosis),10.904
RSm (Anchura Media de Elementos),204.695 µm
Rpk (Altura de picos que se desgastan),3.934 µm
Rk (Profundidad del núcleo funcional),0.463 µm
Rvk (Profundidad de valles para lubricante),4.700 µm
Mr1 (%),31.71
Mr2 (%),66.84

Parámetro (ISO 16610/13565-2),Valor
Ra (ISO 16610),0.540 µm
Rq (ISO 16610),1.257 µm
Rp (ISO 16610),6.409 µm
Rv (ISO 16610),-10.857 µm
Rz/Rt (ISO 16610),17.266 µm
"Rz (ISO 4287:1997, perfil 16610)",6.732 µm
Rsk (ISO 16610),-1.418
Rku (ISO 16610),16.578
RSm (ISO 16610),55.766 µm
"Rpk (ISO 13565-2, 16610)",0.597 µm
"Rk (ISO 13565-2, 16610)",0.100 µm
"Rvk (ISO 13565-2, 16610)",0.645 µm
"Mr1 (ISO 13565-2, 16610) (%)",35.47
"Mr2 (ISO 13565-2, 16610) (%)",63.32
λc (mm),0.800
Fuente filtrado,primary
