x (mm),altura (µm)
0.000000000,-1.301207843
0.000356049,-1.289247541
0.000712099,-1.273289644
0.001068148,-1.261334104
0.001424197,-1.245380871
0.001780246,-1.229429900
0.002136296,-1.209481143
0.002492345,-1.193534550
0.002848394,-1.169590076
0.003204443,-1.145647673
0.003560493,-1.125707291
0.003916542,-1.097768884
0.004272591,-1.073832401
0.004628641,-1.041897796
0.004984690,-1.017965019
0.005340739,-0.982034022
0.005696788,-0.954104756
0.006052838,-0.918177172
0.006408887,-0.878251223
0.006764936,-0.846326857
0.007120986,-0.806404028
0.007477035,-0.770482685
0.007833084,-0.726562781
0.008189133,-0.690644264
0.008545183,-0.642727086
0.008901232,-0.602811197
0.009257281,-0.554896548
0.009613330,-0.502983089
0.009969380,-0.463070772
0.010325429,-0.411159547
0.010681478,-0.371249364
0.011037528,-0.315340173
0.011393577,-0.275431924
0.011749626,-0.219524568
0.012105675,-0.175618052
0.012461725,-0.119712330
0.012817774,-0.063807350
0.013173823,-0.019903063
0.013529873,0.032000581
0.013885922,0.075903635
0.014241971,0.131806145
0.014598020,0.175708163
0.014954070,0.227609739
0.015310119,0.271510924
0.015666168,0.323411767
0.016022217,0.375312319
0.016378267,0.411212630
0.016734316,0.463112750
0.017090365,0.499012729
0.017446415,0.546912618
0.017802464,0.582812467
0.018158513,0.622712327
0.018514562,0.658612248
0.018870612,0.698512279
0.019226661,0.734412471
0.019582710,0.766312875
0.019938760,0.798213541
0.020294809,0.826114519
0.020650858,0.858015859
0.021006907,0.877917612
0.021362957,0.905819827
0.021719006,0.925722554
0.022075055,0.949625845
0.022431104,0.969529747
0.022787154,0.985434313
0.023143203,1.005339591
0.023499252,1.017245633
0.023855302,1.029152488
0.024211351,1.041060205
0.024567400,1.048968836
0.024923449,1.060878431
0.025279499,1.064789038
0.025635548,1.072700707
0.025991597,1.076613489
0.026347647,1.080527435
0.026703696,1.084442593
0.027059745,1.084359013
0.027415794,1.084276748
0.027771844,1.084195845
0.028127893,1.084116356
0.028483942,1.084038326
0.028839991,1.079961809
0.029196041,1.079886854
0.029552090,1.075813512
0.029908139,1.071741832
0.030264189,1.067671864
0.030620238,1.063603659
0.030976287,1.055537266
0.031332336,1.051472736
0.031688386,1.047410116
0.032044435,1.039349456
0.032400484,1.035290809
0.032756534,1.027234224
0.033112583,1.019179749
0.033468632,1.011127435
0.033824681,1.003077332
0.034180731,0.995029487
0.034536780,0.982983952
0.034892829,0.974940775
0.035248878,0.962900006
0.035604928,0.954861694
0.035960977,0.942825890
0.036317026,0.930792640
0.036673076,0.918761995
0.037029125,0.906734004
0.037385174,0.894708714
0.037741223,0.878686175
0.038097273,0.866666436
0.038453322,0.854649544
0.038809371,0.838635548
0.039165420,0.826624496
0.039521470,0.810616437
0.039877519,0.794611417
0.040233568,0.782609486
0.040589618,0.766610690
0.040945667,0.754615078
0.041301716,0.738622697
0.041657765,0.726633593
0.042013815,0.714647814
0.042369864,0.698665408
0.042725913,0.686686421
0.043081963,0.674710901
0.043438012,0.662738894
