x (mm),altura (µm)
0.000000000,-2.080535166
0.000356049,-2.068543755
0.000712099,-2.048552345
0.001068148,-2.036560934
0.001424197,-2.016569524
0.001780246,-2.000578113
0.002136296,-1.976586702
0.002492345,-1.960595292
0.002848394,-1.932603881
0.003204443,-1.908612470
0.003560493,-1.884621060
0.003916542,-1.852629649
0.004272591,-1.828638239
0.004628641,-1.792646828
0.004984690,-1.768655417
0.005340739,-1.728664007
0.005696788,-1.700672596
0.006052838,-1.660681186
0.006408887,-1.620689775
0.006764936,-1.584698364
0.007120986,-1.544706954
0.007477035,-1.504715543
0.007833084,-1.456724133
0.008189133,-1.420732722
0.008545183,-1.368741311
0.008901232,-1.328749901
0.009257281,-1.276758490
0.009613330,-1.224767080
0.009969380,-1.180775669
0.010325429,-1.128784258
0.010681478,-1.084792848
0.011037528,-1.028801437
0.011393577,-0.984810026
0.011749626,-0.924818616
0.012105675,-0.880827205
0.012461725,-0.820835795
0.012817774,-0.764844384
0.013173823,-0.716852973
0.013529873,-0.664861563
0.013885922,-0.616870152
0.014241971,-0.560878742
0.014598020,-0.512887331
0.014954070,-0.460895920
0.015310119,-0.412904510
0.015666168,-0.360913099
0.016022217,-0.304921689
0.016378267,-0.268930278
0.016734316,-0.212938867
0.017090365,-0.172947457
0.017446415,-0.124956046
0.017802464,-0.084964635
0.018158513,-0.044973225
0.018514562,-0.004981814
0.018870612,0.035009596
0.019226661,0.075001007
0.019582710,0.106992418
0.019938760,0.142983828
0.020294809,0.170975239
0.020650858,0.206966649
0.021006907,0.226958060
0.021362957,0.258949471
0.021719006,0.282940881
0.022075055,0.306932292
0.022431104,0.330923702
0.022787154,0.346915113
0.023143203,0.370906524
0.023499252,0.382897934
0.023855302,0.398889345
0.024211351,0.410880755
0.024567400,0.422872166
0.024923449,0.434863577
0.025279499,0.442854987
0.025635548,0.450846398
0.025991597,0.458837809
0.026347647,0.462829219
0.026703696,0.470820630
0.027059745,0.470812040
0.027415794,0.474803451
0.027771844,0.478794862
0.028127893,0.478786272
0.028483942,0.482777683
0.028839991,0.478769093
0.029196041,0.482760504
0.029552090,0.478751915
0.029908139,0.478743325
0.030264189,0.474734736
0.030620238,0.474726146
0.030976287,0.466717557
0.031332336,0.466708968
0.031688386,0.462700378
0.032044435,0.458691789
0.032400484,0.454683199
0.032756534,0.450674610
0.033112583,0.442666021
0.033468632,0.438657431
0.033824681,0.434648842
0.034180731,0.426640253
0.034536780,0.418631663
0.034892829,0.410623074
0.035248878,0.402614484
0.035604928,0.394605895
0.035960977,0.386597306
0.036317026,0.374588716
0.036673076,0.366580127
0.037029125,0.354571537
0.037385174,0.346562948
0.037741223,0.330554359
0.038097273,0.322545769
0.038453322,0.310537180
0.038809371,0.298528590
0.039165420,0.286520001
0.039521470,0.274511412
0.039877519,0.258502822
0.040233568,0.250494233
0.040589618,0.234485644
0.040945667,0.226477054
0.041301716,0.214468465
0.041657765,0.202459875
0.042013815,0.194451286
0.042369864,0.178442697
0.042725913,0.170434107
0.043081963,0.158425518
0.043438012,0.150416928
0.043794061,0.138408339
0.044150110,0.130399750
0.044506160,0.122391160
0.044862209,0.118382571
0.045218258,0.106373981
0.045574307,0.102365392
0.045930357,0.094356803
0.046286406,0.090348213
0.046642455,0.082339624
0.046998505,0.078331034
0.047354554,0.070322445
0.047710603,0.066313856
0.048066652,0.058305266
0.048422702,0.054296677
0.048778751,0.046288088
0.049134800,0.042279498
0.049490850,0.030270909
0.049846899,0.026262319
0.050202948,0.014253730
0.050558997,0.002245141
0.050915047,-0.005763449
0.051271096,-0.021772038
0.051627145,-0.029780628
0.051983194,-0.049789217
0.052339244,-0.061797806
0.052695293,-0.081806396
0.053051342,-0.101814985
0.053407392,-0.121823575
0.053763441,-0.141832164
0.054119490,-0.165840753
0.054475539,-0.189849343
0.054831589,-0.213857932
0.055187638,-0.241866522
0.055543687,-0.265875111
0.055899737,-0.297883700
0.056255786,-0.329892290
0.056611835,-0.357900879
0.056967884,-0.393909468
0.057323934,-0.417918058
0.057679983,-0.457926647
0.058036032,-0.485935237
0.058392081,-0.525943826
0.058748131,-0.549952415
0.059104180,-0.589961005
0.059460229,-0.625969594
0.059816279,-0.657978184
0.060172328,-0.693986773
0.060528377,-0.725995362
0.060884426,-0.762003952
0.061240476,-0.790012541
0.061596525,-0.826021131
0.061952574,-0.858029720
0.062308624,-0.890038309
0.062664673,-0.926046899
0.063020722,-0.950055488
0.063376771,-0.982064078
0.063732821,-1.006072667
0.064088870,-1.038081256
0.064444919,-1.062089846
0.064800968,-1.094098435
0.065157018,-1.118107024
0.065513067,-1.142115614
0.065869116,-1.166124203
0.066225166,-1.186132793
0.066581215,-1.210141382
0.066937264,-1.226149971
