Parámetro,Valor
Ra (Promedio Aritmético),5.466 µm
Rq (RMS),9.422 µm
Rp (Pico Máximo),33.664 µm
Rv (Valle Máximo),-26.816 µm
Rz/Rt (Altura Total),60.480 µm
Rz (ISO 4287:1997),22.904 µm
Rsk (Asimetría),0.078
Rku (Curtosis),5.152
RSm (Anchura Media de Elementos),60.324 µm
Rpk (Altura de picos que se desgastan),5.863 µm
Rk (Profundidad del núcleo funcional),0.569 µm
Rvk (Profundidad de valles para lubricante),9.519 µm
Mr1 (%),41.14
Mr2 (%),72.82

Parámetro (ISO 16610/13565-2),Valor
Ra (ISO 16610),1.430 µm
Rq (ISO 16610),2.713 µm
Rp (ISO 16610),12.177 µm
Rv (ISO 16610),-9.287 µm
Rz/Rt (ISO 16610),21.464 µm
"Rz (ISO 4287:1997, perfil 16610)",12.060 µm
Rsk (ISO 16610),0.604
Rku (ISO 16610),8.020
RSm (ISO 16610),62.126 µm
"Rpk (ISO 13565-2, 16610)",1.832 µm
"Rk (ISO 13565-2, 16610)",0.251 µm
"Rvk (ISO 13565-2, 16610)",1.709 µm
"Mr1 (ISO 13565-2, 16610) (%)",35.27
"Mr2 (ISO 13565-2, 16610) (%)",66.25
λc (mm),0.800
Fuente filtrado,primary
