Parámetro,Valor
Ra (Promedio Aritmético),6.825 µm
Rq (RMS),10.594 µm
Rp (Pico Máximo),36.232 µm
Rv (Valle Máximo),-33.060 µm
Rz/Rt (Altura Total),69.292 µm
Rz (ISO 4287:1997),29.322 µm
Rsk (Asimetría),0.100
Rku (Curtosis),4.861
RSm (Anchura Media de Elementos),335.505 µm
Rpk (Altura de picos que se desgastan),7.594 µm
Rk (Profundidad del núcleo funcional),1.542 µm
Rvk (Profundidad de valles para lubricante),7.288 µm
Mr1 (%),31.75
Mr2 (%),59.39

Parámetro (ISO 16610/13565-2),Valor
Ra (ISO 16610),1.361 µm
Rq (ISO 16610),2.825 µm
Rp (ISO 16610),14.394 µm
Rv (ISO 16610),-14.129 µm
Rz/Rt (ISO 16610),28.523 µm
"Rz (ISO 4287:1997, perfil 16610)",11.337 µm
Rsk (ISO 16610),0.155
Rku (ISO 16610),11.185
RSm (ISO 16610),85.555 µm
"Rpk (ISO 13565-2, 16610)",1.820 µm
"Rk (ISO 13565-2, 16610)",0.188 µm
"Rvk (ISO 13565-2, 16610)",1.599 µm
"Mr1 (ISO 13565-2, 16610) (%)",32.18
"Mr2 (ISO 13565-2, 16610) (%)",61.62
λc (mm),0.800
Fuente filtrado,primary
