x (mm),altura (µm)
0.000000000,-10.427951046
0.000471298,-10.394040588
0.000942596,-10.364130130
0.001413894,-10.338219671
0.001885192,-10.312309213
0.002356490,-10.290398755
0.002827788,-10.264488297
0.003299086,-10.246577838
0.003770384,-10.224667380
0.004241682,-10.206756922
0.004712980,-10.192846464
0.005184278,-10.174936006
0.005655575,-10.165025547
0.006126873,-10.151115089
0.006598171,-10.141204631
0.007069469,-10.131294173
0.007540767,-10.121383714
0.008012065,-10.115473256
0.008483363,-10.109562798
0.008954661,-10.103652340
0.009425959,-10.101741881
0.009897257,-10.099831423
0.010368555,-10.097920965
0.010839853,-10.096010507
0.011311151,-10.094100049
0.011782449,-10.096189590
0.012253747,-10.098279132
0.012725045,-10.096368674
0.013196343,-10.102458216
0.013667641,-10.104547757
0.014138939,-10.106637299
0.014610237,-10.112726841
0.015081535,-10.118816383
0.015552833,-10.120905925
0.016024130,-10.126995466
0.016495428,-10.137085008
0.016966726,-10.143174550
0.017438024,-10.153264092
0.017909322,-10.163353633
0.018380620,-10.169443175
0.018851918,-10.179532717
0.019323216,-10.189622259
0.019794514,-10.203711800
0.020265812,-10.213801342
0.020737110,-10.227890884
0.021208408,-10.241980426
0.021679706,-10.256069968
0.022151004,-10.270159509
0.022622302,-10.284249051
0.023093600,-10.302338593
0.023564898,-10.316428135
0.024036196,-10.338517676
0.024507494,-10.352607218
0.024978792,-10.374696760
0.025450090,-10.396786302
0.025921388,-10.410875844
0.026392685,-10.432965385
0.026863983,-10.451054927
0.027335281,-10.477144469
0.027806579,-10.495234011
0.028277877,-10.517323552
0.028749175,-10.535413094
0.029220473,-10.561502636
0.029691771,-10.583592178
0.030163069,-10.601681719
0.030634367,-10.627771261
0.031105665,-10.645860803
0.031576963,-10.667950345
0.032048261,-10.690039887
0.032519559,-10.712129428
0.032990857,-10.734218970
0.033462155,-10.752308512
0.033933453,-10.774398054
0.034404751,-10.792487595
0.034876049,-10.814577137
0.035347347,-10.832666679
0.035818645,-10.854756221
0.036289943,-10.872845763
0.036761240,-10.894935304
0.037232538,-10.913024846
0.037703836,-10.931114388
0.038175134,-10.953203930
0.038646432,-10.967293471
0.039117730,-10.989383013
0.039589028,-11.007472555
0.040060326,-11.025562097
0.040531624,-11.043651638
0.041002922,-11.065741180
0.041474220,-11.087830722
0.041945518,-11.105920264
0.042416816,-11.128009806
0.042888114,-11.146099347
0.043359412,-11.168188889
0.043830710,-11.190278431
0.044302008,-11.212367973
0.044773306,-11.234457514
0.045244604,-11.260547056
0.045715902,-11.286636598
0.046187200,-11.308726140
0.046658498,-11.338815682
0.047129795,-11.360905223
0.047601093,-11.390994765
0.048072391,-11.413084307
0.048543689,-11.443173849
0.049014987,-11.469263390
0.049486285,-11.499352932
0.049957583,-11.529442474
0.050428881,-11.555532016
0.050900179,-11.585621557
0.051371477,-11.611711099
0.051842775,-11.645800641
0.052314073,-11.667890183
0.052785371,-11.701979725
0.053256669,-11.724069266
0.053727967,-11.754158808
0.054199265,-11.784248350
0.054670563,-11.810337892
0.055141861,-11.836427433
0.055613159,-11.858516975
0.056084457,-11.884606517
0.056555755,-11.906696059
0.057027053,-11.928785601
0.057498350,-11.954875142
0.057969648,-11.972964684
0.058440946,-11.991054226
0.058912244,-12.009143768
0.059383542,-12.027233309
0.059854840,-12.041322851
0.060326138,-12.055412393
0.060797436,-12.069501935
0.061268734,-12.079591476
0.061740032,-12.093681018
0.062211330,-12.099770560
0.062682628,-12.109860102
0.063153926,-12.115949644
0.063625224,-12.122039185
0.064096522,-12.128128727
0.064567820,-12.134218269
0.065039118,-12.136307811
0.065510416,-12.138397352
0.065981714,-12.140486894
0.066453012,-12.142576436
0.066924310,-12.140665978
0.067395608,-12.142755520
0.067866905,-12.140845061
0.068338203,-12.138934603
0.068809501,-12.137024145
0.069280799,-12.135113687
0.069752097,-12.129203228
0.070223395,-12.127292770
0.070694693,-12.121382312
0.071165991,-12.115471854
0.071637289,-12.113561395
0.072108587,-12.107650937
0.072579885,-12.101740479
0.073051183,-12.095830021
0.073522481,-12.089919563
0.073993779,-12.084009104
0.074465077,-12.078098646
0.074936375,-12.072188188
0.075407673,-12.062277730
0.075878971,-12.056367271
0.076350269,-12.050456813
0.076821567,-12.044546355
0.077292865,-12.034635897
0.077764163,-12.028725439
0.078235460,-12.018814980
0.078706758,-12.008904522
0.079178056,-11.998994064
0.079649354,-11.989083606
0.080120652,-11.983173147
0.080591950,-11.969262689
0.081063248,-11.963352231
0.081534546,-11.949441773
0.082005844,-11.943531314
0.082477142,-11.929620856
0.082948440,-11.915710398
0.083419738,-11.905799940
0.083891036,-11.891889482
0.084362334,-11.881979023
0.084833632,-11.868068565
0.085304930,-11.858158107
0.085776228,-11.844247649
0.086247526,-11.830337190
0.086718824,-11.816426732
0.087190122,-11.802516274
0.087661420,-11.788605816
0.088132718,-11.774695358
0.088604015,-11.764784899
0.089075313,-11.750874441
0.089546611,-11.736963983
0.090017909,-11.723053525
0.090489207,-11.709143066
0.090960505,-11.699232608
0.091431803,-11.685322150
0.091903101,-11.671411692
0.092374399,-11.657501233
0.092845697,-11.647590775
0.093316995,-11.637680317
0.093788293,-11.627769859
0.094259591,-11.613859401
0.094730889,-11.603948942
0.095202187,-11.594038484
0.095673485,-11.584128026
0.096144783,-11.578217568
0.096616081,-11.568307109
0.097087379,-11.562396651
0.097558677,-11.552486193
0.098029975,-11.546575735
0.098501273,-11.536665277
0.098972570,-11.530754818
0.099443868,-11.524844360
