Parámetro,Valor
Ra (Promedio Aritmético),6.137 µm
Rq (RMS),10.565 µm
Rp (Pico Máximo),36.488 µm
Rv (Valle Máximo),-32.956 µm
Rz/Rt (Altura Total),69.444 µm
Rz (ISO 4287:1997),25.006 µm
Rsk (Asimetría),0.700
Rku (Curtosis),5.852
RSm (Anchura Media de Elementos),337.742 µm
Rpk (Altura de picos que se desgastan),9.860 µm
Rk (Profundidad del núcleo funcional),1.918 µm
Rvk (Profundidad de valles para lubricante),5.110 µm
Mr1 (%),22.73
Mr2 (%),54.91

Parámetro (ISO 16610/13565-2),Valor
Ra (ISO 16610),1.216 µm
Rq (ISO 16610),2.073 µm
Rp (ISO 16610),6.451 µm
Rv (ISO 16610),-8.339 µm
Rz/Rt (ISO 16610),14.790 µm
"Rz (ISO 4287:1997, perfil 16610)",6.965 µm
Rsk (ISO 16610),-0.037
Rku (ISO 16610),5.719
RSm (ISO 16610),98.935 µm
"Rpk (ISO 13565-2, 16610)",1.507 µm
"Rk (ISO 13565-2, 16610)",0.385 µm
"Rvk (ISO 13565-2, 16610)",1.120 µm
"Mr1 (ISO 13565-2, 16610) (%)",28.18
"Mr2 (ISO 13565-2, 16610) (%)",58.08
λc (mm),0.800
Fuente filtrado,primary
