Parámetro,Valor
Ra (Promedio Aritmético),3.263 µm
Rq (RMS),6.663 µm
Rp (Pico Máximo),18.124 µm
Rv (Valle Máximo),-29.424 µm
Rz/Rt (Altura Total),47.548 µm
Rz (ISO 4287:1997),16.568 µm
Rsk (Asimetría),-1.652
Rku (Curtosis),10.038
RSm (Anchura Media de Elementos),109.469 µm
Rpk (Altura de picos que se desgastan),4.006 µm
Rk (Profundidad del núcleo funcional),1.061 µm
Rvk (Profundidad de valles para lubricante),2.998 µm
Mr1 (%),28.00
Mr2 (%),58.10

Parámetro (ISO 16610/13565-2),Valor
Ra (ISO 16610),1.065 µm
Rq (ISO 16610),1.940 µm
Rp (ISO 16610),7.706 µm
Rv (ISO 16610),-10.462 µm
Rz/Rt (ISO 16610),18.168 µm
"Rz (ISO 4287:1997, perfil 16610)",8.748 µm
Rsk (ISO 16610),-0.593
Rku (ISO 16610),10.065
RSm (ISO 16610),66.806 µm
"Rpk (ISO 13565-2, 16610)",1.299 µm
"Rk (ISO 13565-2, 16610)",0.523 µm
"Rvk (ISO 13565-2, 16610)",0.896 µm
"Mr1 (ISO 13565-2, 16610) (%)",24.96
"Mr2 (ISO 13565-2, 16610) (%)",59.60
λc (mm),0.800
Fuente filtrado,primary
