x (mm),altura (µm)
0.000000000,10.554969155
0.000356049,10.547243126
0.000712099,10.539517098
0.001068148,10.531791069
0.001424197,10.528065041
0.001780246,10.520339012
0.002136296,10.512612984
0.002492345,10.508886955
0.002848394,10.501160926
0.003204443,10.493434898
0.003560493,10.489708869
0.003916542,10.485982841
0.004272591,10.478256812
0.004628641,10.474530784
0.004984690,10.470804755
0.005340739,10.467078727
0.005696788,10.463352698
0.006052838,10.459626670
0.006408887,10.459900641
0.006764936,10.456174613
0.007120986,10.452448584
0.007477035,10.452722556
0.007833084,10.448996527
0.008189133,10.449270498
0.008545183,10.449544470
0.008901232,10.449818441
0.009257281,10.450092413
0.009613330,10.450366384
0.009969380,10.446640356
0.010325429,10.450914327
0.010681478,10.447188299
0.011037528,10.451462270
0.011393577,10.451736242
0.011749626,10.452010213
0.012105675,10.452284185
0.012461725,10.452558156
0.012817774,10.452832127
0.013173823,10.453106099
0.013529873,10.457380070
0.013885922,10.457654042
0.014241971,10.457928013
0.014598020,10.458201985
0.014954070,10.458475956
0.015310119,10.458749928
0.015666168,10.459023899
0.016022217,10.459297871
0.016378267,10.459571842
0.016734316,10.459845814
0.017090365,10.456119785
0.017446415,10.456393756
0.017802464,10.456667728
0.018158513,10.452941699
0.018514562,10.453215671
0.018870612,10.453489642
0.019226661,10.449763614
0.019582710,10.446037585
0.019938760,10.446311557
0.020294809,10.442585528
0.020650858,10.442859500
0.021006907,10.439133471
0.021362957,10.435407443
0.021719006,10.431681414
0.022075055,10.427955385
0.022431104,10.424229357
0.022787154,10.424503328
0.023143203,10.420777300
0.023499252,10.417051271
0.023855302,10.413325243
0.024211351,10.409599214
0.024567400,10.401873186
0.024923449,10.398147157
0.025279499,10.394421129
0.025635548,10.390695100
0.025991597,10.386969072
0.026347647,10.379243043
0.026703696,10.375517015
0.027059745,10.371790986
0.027415794,10.368064957
0.027771844,10.360338929
0.028127893,10.356612900
0.028483942,10.348886872
0.028839991,10.345160843
0.029196041,10.337434815
0.029552090,10.333708786
0.029908139,10.329982758
0.030264189,10.322256729
0.030620238,10.318530701
0.030976287,10.310804672
0.031332336,10.303078644
0.031688386,10.299352615
0.032044435,10.291626586
0.032400484,10.283900558
0.032756534,10.276174529
0.033112583,10.272448501
0.033468632,10.264722472
0.033824681,10.256996444
0.034180731,10.249270415
0.034536780,10.241544387
0.034892829,10.233818358
0.035248878,10.226092330
0.035604928,10.218366301
0.035960977,10.214640273
0.036317026,10.206914244
0.036673076,10.199188215
0.037029125,10.191462187
0.037385174,10.187736158
0.037741223,10.180010130
0.038097273,10.176284101
0.038453322,10.168558073
0.038809371,10.164832044
0.039165420,10.161106016
0.039521470,10.157379987
0.039877519,10.157653959
0.040233568,10.153927930
0.040589618,10.154201902
0.040945667,10.154475873
0.041301716,10.154749844
0.041657765,10.159023816
0.042013815,10.159297787
0.042369864,10.163571759
0.042725913,10.167845730
0.043081963,10.176119702
0.043438012,10.184393673
0.043794061,10.192667645
0.044150110,10.200941616
0.044506160,10.213215588
0.044862209,10.225489559
0.045218258,10.233763531
0.045574307,10.250037502
0.045930357,10.258311474
0.046286406,10.274585445
0.046642455,10.290859416
0.046998505,10.307133388
0.047354554,10.323407359
0.047710603,10.335681331
0.048066652,10.355955302
0.048422702,10.368229274
0.048778751,10.384503245
0.049134800,10.400777217
0.049490850,10.417051188
0.049846899,10.433325160
0.050202948,10.449599131
0.050558997,10.465873103
0.050915047,10.478147074
0.051271096,10.490421045
0.051627145,10.502695017
0.051983194,10.514968988
0.052339244,10.527242960
0.052695293,10.539516931
0.053051342,10.547790903
0.053407392,10.556064874
0.053763441,10.568338846
0.054119490,10.572612817
0.054475539,10.580886789
0.054831589,10.585160760
0.055187638,10.593434732
0.055543687,10.597708703
0.055899737,10.601982674
0.056255786,10.606256646
0.056611835,10.610530617
0.056967884,10.614804589
0.057323934,10.619078560
0.057679983,10.619352532
0.058036032,10.623626503
0.058392081,10.623900475
0.058748131,10.628174446
0.059104180,10.628448418
0.059460229,10.632722389
0.059816279,10.632996361
0.060172328,10.633270332
0.060528377,10.633544304
0.060884426,10.637818275
0.061240476,10.638092246
0.061596525,10.642366218
0.061952574,10.642640189
0.062308624,10.642914161
0.062664673,10.647188132
0.063020722,10.647462104
0.063376771,10.647736075
0.063732821,10.652010047
0.064088870,10.652284018
0.064444919,10.652557990
0.064800968,10.656831961
0.065157018,10.657105933
0.065513067,10.661379904
0.065869116,10.661653875
0.066225166,10.661927847
0.066581215,10.662201818
0.066937264,10.666475790
0.067293313,10.666749761
0.067649363,10.667023733
0.068005412,10.667297704
0.068361461,10.667571676
0.068717511,10.667845647
0.069073560,10.668119619
0.069429609,10.668393590
0.069785658,10.668667562
0.070141708,10.668941533
0.070497757,10.669215504
0.070853806,10.669489476
0.071209855,10.665763447
0.071565905,10.666037419
0.071921954,10.666311390
0.072278003,10.666585362
0.072634053,10.662859333
0.072990102,10.663133305
0.073346151,10.659407276
0.073702200,10.659681248
0.074058250,10.655955219
0.074414299,10.656229191
0.074770348,10.652503162
0.075126397,10.648777133
0.075482447,10.645051105
0.075838496,10.645325076
0.076194545,10.641599048
0.076550595,10.637873019
0.076906644,10.634146991
0.077262693,10.630420962
0.077618742,10.626694934
0.077974792,10.622968905
0.078330841,10.619242877
0.078686890,10.611516848
0.079042940,10.607790820
0.079398989,10.604064791
0.079755038,10.596338763
0.080111087,10.592612734
0.080467137,10.584886705
0.080823186,10.581160677
0.081179235,10.573434648
0.081535284,10.569708620
0.081891334,10.561982591
0.082247383,10.554256563
0.082603432,10.546530534
0.082959482,10.542804506
0.083315531,10.535078477
0.083671580,10.527352449
0.084027629,10.519626420
0.084383679,10.511900392
0.084739728,10.504174363
0.085095777,10.496448334
0.085451827,10.488722306
0.085807876,10.480996277
0.086163925,10.473270249
0.086519974,10.465544220
0.086876024,10.457818192
0.087232073,10.454092163
0.087588122,10.446366135
0.087944171,10.438640106
0.088300221,10.430914078
0.088656270,10.427188049
0.089012319,10.419462021
0.089368369,10.411735992
0.089724418,10.408009963
0.090080467,10.400283935
0.090436516,10.396557906
0.090792566,10.392831878
0.091148615,10.389105849
0.091504664,10.385379821
0.091860714,10.381653792
0.092216763,10.377927764
0.092572812,10.378201735
0.092928861,10.374475707
0.093284911,10.374749678
0.093640960,10.375023650
0.093997009,10.375297621
0.094353058,10.375571593
0.094709108,10.375845564
0.095065157,10.376119535
0.095421206,10.380393507
0.095777256,10.380667478
0.096133305,10.384941450
0.096489354,10.389215421
0.096845403,10.393489393
0.097201453,10.401763364
0.097557502,10.406037336
0.097913551,10.414311307
0.098269601,10.418585279
0.098625650,10.426859250
0.098981699,10.431133222
0.099337748,10.439407193
0.099693798,10.451681164
0.100049847,10.455955136
0.100405896,10.468229107
0.100761945,10.472503079
0.101117995,10.484777050
0.101474044,10.493051022
0.101830093,10.501324993
0.102186143,10.509598965
0.102542192,10.517872936
0.102898241,10.526146908
0.103254290,10.534420879
0.103610340,10.542694851
0.103966389,10.550968822
0.104322438,10.559242793
0.104678488,10.567516765
0.105034537,10.571790736
0.105390586,10.580064708
0.105746635,10.584338679
0.106102685,10.592612651
0.106458734,10.596886622
0.106814783,10.601160594
0.107170832,10.605434565
0.107526882,10.609708537
0.107882931,10.613982508
0.108238980,10.618256480
0.108595030,10.618530451
0.108951079,10.622804422
0.109307128,10.623078394
0.109663177,10.623352365
0.110019227,10.627626337
0.110375276,10.623900308
0.110731325,10.628174280
0.111087374,10.624448251
