x (mm),altura (µm)
0.000000000,-0.467056893
0.000356049,-0.473210752
0.000712099,-0.479371185
0.001068148,-0.485538193
0.001424197,-0.487711778
0.001780246,-0.493891942
0.002136296,-0.500078689
0.002492345,-0.502272016
0.002848394,-0.508471928
0.003204443,-0.514678424
0.003560493,-0.516891507
0.003916542,-0.519111179
0.004272591,-0.525337439
0.004628641,-0.527570288
0.004984690,-0.529809728
0.005340739,-0.532055761
0.005696788,-0.534308383
0.006052838,-0.536567599
0.006408887,-0.534833408
0.006764936,-0.537105810
0.007120986,-0.539384807
0.007477035,-0.537670397
0.007833084,-0.539962582
0.008189133,-0.538261360
0.008545183,-0.536566733
0.008901232,-0.534878700
0.009257281,-0.533197262
0.009613330,-0.531522416
0.009969380,-0.533854164
0.010325429,-0.528192506
0.010681478,-0.530537439
0.011037528,-0.524888965
0.011393577,-0.523247080
0.011749626,-0.521611786
0.012105675,-0.519983080
0.012461725,-0.518360962
0.012817774,-0.516745430
0.013173823,-0.515136485
0.013529873,-0.509534124
0.013885922,-0.507938344
0.014241971,-0.506349145
0.014598020,-0.504766523
0.014954070,-0.503190481
0.015310119,-0.501621012
0.015666168,-0.500058117
0.016022217,-0.498501792
0.016378267,-0.496952035
0.016734316,-0.495408845
0.017090365,-0.497872218
0.017446415,-0.496342153
0.017802464,-0.494818645
0.018158513,-0.497301693
0.018514562,-0.495791293
0.018870612,-0.494287441
0.019226661,-0.496790137
0.019582710,-0.499299375
0.019938760,-0.497815153
0.020294809,-0.500337467
0.020650858,-0.498866314
0.021006907,-0.501401688
0.021362957,-0.503943588
0.021719006,-0.506492011
0.022075055,-0.509046949
0.022431104,-0.511608403
0.022787154,-0.510176365
0.023143203,-0.512750831
0.023499252,-0.515331800
0.023855302,-0.517919264
0.024211351,-0.520513221
0.024567400,-0.527113664
0.024923449,-0.529720591
0.025279499,-0.532333995
0.025635548,-0.534953874
0.025991597,-0.537580222
0.026347647,-0.544213033
0.026703696,-0.546852302
0.027059745,-0.549498025
0.027415794,-0.552150195
0.027771844,-0.558808809
0.028127893,-0.561473860
0.028483942,-0.568145343
0.028839991,-0.570823253
0.029196041,-0.577507584
0.029552090,-0.580198328
0.029908139,-0.582895482
0.030264189,-0.589599039
0.030620238,-0.592308993
0.030976287,-0.599025339
0.031332336,-0.605748068
0.031688386,-0.608477176
0.032044435,-0.615212656
0.032400484,-0.621954502
0.032756534,-0.628702707
0.033112583,-0.631457264
0.033468632,-0.638218166
0.033824681,-0.644985406
0.034180731,-0.651758977
0.034536780,-0.658538872
0.034892829,-0.665325083
0.035248878,-0.672117604
0.035604928,-0.678916426
0.035960977,-0.681721543
0.036317026,-0.688532945
0.036673076,-0.695350627
0.037029125,-0.702174579
0.037385174,-0.705004794
0.037741223,-0.711841264
0.038097273,-0.714683978
0.038453322,-0.721532931
0.038809371,-0.724388114
0.039165420,-0.727249518
0.039521470,-0.730117134
0.039877519,-0.728990954
0.040233568,-0.731870967
0.040589618,-0.730757168
0.040945667,-0.729649545
0.041301716,-0.728548088
0.041657765,-0.723452792
0.042013815,-0.722363644
0.042369864,-0.717280636
0.042725913,-0.712203758
0.043081963,-0.703133001
0.043438012,-0.694068355
0.043794061,-0.685009808
0.044150110,-0.675957353
0.044506160,-0.662910980
0.044862209,-0.649870677
0.045218258,-0.640836436
0.045574307,-0.623808245
0.045930357,-0.614786093
0.046286406,-0.597769971
0.046642455,-0.580759868
0.046998505,-0.563755773
0.047354554,-0.546757676
0.047710603,-0.533765566
0.048066652,-0.512779431
0.048422702,-0.499799262
0.048778751,-0.482825046
0.049134800,-0.465856771
0.049490850,-0.448894427
0.049846899,-0.431938004
0.050202948,-0.414987488
0.050558997,-0.398042868
0.050915047,-0.385104132
0.051271096,-0.372171270
0.051627145,-0.359244268
0.051983194,-0.346323114
0.052339244,-0.333407799
0.052695293,-0.320498306
0.053051342,-0.311594629
0.053407392,-0.302696750
0.053763441,-0.289804658
0.054119490,-0.284918341
0.054475539,-0.276037787
0.054831589,-0.271162985
0.055187638,-0.262293919
0.055543687,-0.257430580
0.055899737,-0.252572952
0.056255786,-0.247721025
0.056611835,-0.242874784
0.056967884,-0.238034217
0.057323934,-0.233199309
0.057679983,-0.232370049
0.058036032,-0.227546425
0.058392081,-0.226728421
0.058748131,-0.221916024
0.059104180,-0.221109222
0.059460229,-0.216308000
0.059816279,-0.215512346
0.060172328,-0.214722246
0.060528377,-0.213937687
0.060884426,-0.209158656
0.061240476,-0.208385138
0.061596525,-0.203617118
0.061952574,-0.202854586
0.062308624,-0.202097524
0.062664673,-0.197345920
0.063020722,-0.196599758
0.063376771,-0.195859026
0.063732821,-0.191123710
0.064088870,-0.190393795
0.064444919,-0.189669267
0.064800968,-0.184950110
0.065157018,-0.184236312
0.065513067,-0.179527857
0.065869116,-0.178824730
0.066225166,-0.178126916
0.066581215,-0.177434402
0.066937264,-0.172747172
0.067293313,-0.172065211
0.067649363,-0.171388506
0.068005412,-0.170717040
0.068361461,-0.170050797
0.068717511,-0.169389763
0.069073560,-0.168733922
0.069429609,-0.168083261
0.069785658,-0.167437762
0.070141708,-0.166797411
0.070497757,-0.166162191
0.070853806,-0.165532086
0.071209855,-0.168907083
0.071565905,-0.168287163
0.071921954,-0.167672314
0.072278003,-0.167062516
0.072634053,-0.170457757
0.072990102,-0.169858017
0.073346151,-0.173263282
0.073702200,-0.172673536
0.074058250,-0.176088762
0.074414299,-0.175508945
0.074770348,-0.178934068
0.075126397,-0.182364114
0.075482447,-0.185799068
0.075838496,-0.185238912
0.076194545,-0.188683631
0.076550595,-0.192133205
0.076906644,-0.195587622
0.077262693,-0.199046862
0.077618742,-0.202510909
0.077974792,-0.205979748
0.078330841,-0.209453360
0.078686890,-0.216931728
0.079042940,-0.220414837
0.079398989,-0.223902668
0.079755038,-0.231395204
0.080111087,-0.234892428
0.080467137,-0.242394324
0.080823186,-0.245900873
0.081179235,-0.253412059
0.081535284,-0.256927864
0.081891334,-0.264448271
0.082247383,-0.271973263
0.082603432,-0.279502820
0.082959482,-0.283036926
0.083315531,-0.290575564
0.083671580,-0.298118715
0.084027629,-0.305666363
0.084383679,-0.313218487
0.084739728,-0.320775072
0.085095777,-0.328336099
0.085451827,-0.335901551
0.085807876,-0.343471409
0.086163925,-0.351045656
0.086519974,-0.358624272
0.086876024,-0.366207241
0.087232073,-0.369794544
0.087588122,-0.377386160
0.087944171,-0.384982075
0.088300221,-0.392582270
0.088656270,-0.396186725
0.089012319,-0.403795424
0.089368369,-0.411408347
0.089724418,-0.415025475
0.090080467,-0.422646793
0.090436516,-0.426272280
0.090792566,-0.429901916
0.091148615,-0.433535686
0.091504664,-0.437173569
0.091860714,-0.440815549
0.092216763,-0.444461606
0.092572812,-0.444111723
0.092928861,-0.447765881
0.093284911,-0.447424061
0.093640960,-0.447086244
0.093997009,-0.446752411
0.094353058,-0.446422545
0.094709108,-0.446096626
0.095065157,-0.445774637
0.095421206,-0.441456559
0.095777256,-0.441142375
0.096133305,-0.436832062
0.096489354,-0.432525606
0.096845403,-0.428222986
0.097201453,-0.419924181
0.097557502,-0.415629178
0.097913551,-0.407337953
0.098269601,-0.403050492
0.098625650,-0.394766771
0.098981699,-0.390486777
0.099337748,-0.382210486
0.099693798,-0.369937882
0.100049847,-0.365668945
0.100405896,-0.353403656
0.100761945,-0.349141998
0.101117995,-0.336883949
0.101474044,-0.328629493
0.101830093,-0.320378609
0.102186143,-0.312131281
0.102542192,-0.303887487
0.102898241,-0.295647208
0.103254290,-0.287410428
0.103610340,-0.279177124
0.103966389,-0.270947282
0.104322438,-0.262720878
0.104678488,-0.254497896
0.105034537,-0.250278317
0.105390586,-0.242062121
0.105746635,-0.237849290
0.106102685,-0.229639804
0.106458734,-0.225433645
0.106814783,-0.221230793
0.107170832,-0.217031232
0.107526882,-0.212834941
0.107882931,-0.208641902
0.108238980,-0.204452096
0.108595030,-0.204265504
0.108951079,-0.200082106
0.109307128,-0.199901886
0.109663177,-0.199724823
0.110019227,-0.195550902
0.110375276,-0.199380101
0.110731325,-0.195212403
0.111087374,-0.199047789
0.111443424,-0.198886241
0.111799473,-0.198727741
0.112155522,-0.198572269
0.112511572,-0.198419807
0.112867621,-0.202270338
0.113223670,-0.202123841
0.113579719,-0.205980301
0.113935769,-0.205839698
0.114291818,-0.209702014
0.114647867,-0.209567230
0.115003917,-0.209435329
0.115359966,-0.213306291
0.115716015,-0.213180099
0.116072064,-0.213056733
0.116428114,-0.216936177
0.116784163,-0.216818410
0.117140212,-0.216703416
0.117496261,-0.216591176
0.117852311,-0.216481671
0.118208360,-0.216374883
0.118564409,-0.216270794
0.118920459,-0.216169386
0.119276508,-0.216070640
0.119632557,-0.211974538
0.119988606,-0.211881061
0.120344656,-0.207790190
0.120700705,-0.207701909
0.121056754,-0.203616198
0.121412804,-0.199533040
0.121768853,-0.195452415
0.122124902,-0.191374306
0.122480951,-0.187298693
0.122837001,-0.179225560
0.123193050,-0.175154886
0.123549099,-0.167086655
0.123905148,-0.163020847
0.124261198,-0.154957447
0.124617247,-0.146896435
0.124973296,-0.138837793
0.125329346,-0.130781502
0.125685395,-0.122727544
0.126041444,-0.110675902
0.126397493,-0.102626558
0.126753543,-0.090579493
