Parámetro,Valor
Ra (Promedio Aritmético),4.017 µm
Rq (RMS),7.339 µm
Rp (Pico Máximo),31.656 µm
Rv (Valle Máximo),-24.920 µm
Rz/Rt (Altura Total),56.576 µm
Rz (ISO 4287:1997),19.700 µm
Rsk (Asimetría),0.632
Rku (Curtosis),9.188
RSm (Anchura Media de Elementos),216.454 µm
Rpk (Altura de picos que se desgastan),4.654 µm
Rk (Profundidad del núcleo funcional),1.972 µm
Rvk (Profundidad de valles para lubricante),3.597 µm
Mr1 (%),25.45
Mr2 (%),60.51

Parámetro (ISO 16610/13565-2),Valor
Ra (ISO 16610),1.059 µm
Rq (ISO 16610),2.116 µm
Rp (ISO 16610),10.605 µm
Rv (ISO 16610),-10.252 µm
Rz/Rt (ISO 16610),20.857 µm
"Rz (ISO 4287:1997, perfil 16610)",7.595 µm
Rsk (ISO 16610),0.115
Rku (ISO 16610),10.663
RSm (ISO 16610),84.746 µm
"Rpk (ISO 13565-2, 16610)",1.483 µm
"Rk (ISO 13565-2, 16610)",0.585 µm
"Rvk (ISO 13565-2, 16610)",0.937 µm
"Mr1 (ISO 13565-2, 16610) (%)",23.06
"Mr2 (ISO 13565-2, 16610) (%)",62.67
λc (mm),0.800
Fuente filtrado,primary
