x (mm),altura (µm)
0.000000000,5.358754978
0.000496845,5.348726223
0.000993690,5.338697468
0.001490535,5.332668712
0.001987380,5.318639957
0.002484225,5.308611202
0.002981070,5.298582446
0.003477915,5.288553691
0.003974760,5.278524936
0.004471605,5.264496181
0.004968450,5.254467425
0.005465295,5.240438670
0.005962140,5.230409915
0.006458985,5.216381159
0.006955830,5.206352404
0.007452676,5.192323649
0.007949521,5.182294894
0.008446366,5.168266138
0.008943211,5.154237383
0.009440056,5.140208628
0.009936901,5.130179872
0.010433746,5.116151117
0.010930591,5.102122362
0.011427436,5.092093607
0.011924281,5.078064851
0.012421126,5.068036096
0.012917971,5.054007341
0.013414816,5.039978585
0.013911661,5.029949830
0.014408506,5.015921075
0.014905351,5.005892320
0.015402196,4.991863564
0.015899041,4.981834809
0.016395886,4.971806054
0.016892731,4.961777298
0.017389576,4.951748543
0.017886421,4.941719788
0.018383266,4.931691033
0.018880111,4.921662277
0.019376956,4.915633522
0.019873801,4.909604767
0.020370646,4.903576012
0.020867491,4.897547256
0.021364336,4.891518501
0.021861181,4.889489746
0.022358027,4.883460990
0.022854872,4.881432235
0.023351717,4.879403480
0.023848562,4.877374725
0.024345407,4.879345969
0.024842252,4.877317214
0.025339097,4.879288459
0.025835942,4.881259703
0.026332787,4.883230948
0.026829632,4.889202193
0.027326477,4.891173438
0.027823322,4.897144682
0.028320167,4.903115927
0.028817012,4.909087172
0.029313857,4.915058416
0.029810702,4.925029661
0.030307547,4.931000906
0.030804392,4.940972151
0.031301237,4.950943395
0.031798082,4.956914640
0.032294927,4.966885885
0.032791772,4.976857129
0.033288617,4.986828374
0.033785462,4.996799619
0.034282307,5.006770864
0.034779152,5.016742108
0.035275997,5.026713353
0.035772842,5.036684598
0.036269687,5.042655842
0.036766533,5.056627087
0.037263378,5.062598332
0.037760223,5.072569577
0.038257068,5.078540821
0.038753913,5.088512066
0.039250758,5.098483311
0.039747603,5.104454555
0.040244448,5.114425800
0.040741293,5.116397045
0.041238138,5.126368290
0.041734983,5.128339534
0.042231828,5.138310779
0.042728673,5.140282024
0.043225518,5.146253269
0.043722363,5.152224513
0.044219208,5.154195758
0.044716053,5.160167003
0.045212898,5.162138247
0.045709743,5.164109492
0.046206588,5.166080737
0.046703433,5.168051982
0.047200278,5.170023226
0.047697123,5.171994471
0.048193968,5.173965716
0.048690813,5.171936960
0.049187658,5.173908205
0.049684503,5.171879450
0.050181348,5.173850695
0.050678193,5.171821939
0.051175039,5.169793184
0.051671884,5.167764429
0.052168729,5.165735673
0.052665574,5.163706918
0.053162419,5.161678163
0.053659264,5.155649408
0.054156109,5.153620652
0.054652954,5.147591897
0.055149799,5.145563142
0.055646644,5.139534386
0.056143489,5.133505631
0.056640334,5.131476876
0.057137179,5.125448121
0.057634024,5.119419365
0.058130869,5.113390610
0.058627714,5.107361855
0.059124559,5.101333099
0.059621404,5.095304344
0.060118249,5.089275589
0.060615094,5.083246834
0.061111939,5.077218078
0.061608784,5.067189323
0.062105629,5.061160568
0.062602474,5.055131812
0.063099319,5.049103057
0.063596164,5.039074302
0.064093009,5.033045547
0.064589854,5.027016791
0.065086699,5.020988036
0.065583544,5.014959281
0.066080390,5.004930526
0.066577235,4.998901770
0.067074080,4.992873015
0.067570925,4.986844260
0.068067770,4.980815504
0.068564615,4.970786749
0.069061460,4.964757994
0.069558305,4.958729239
0.070055150,4.952700483
0.070551995,4.946671728
0.071048840,4.940642973
0.071545685,4.934614217
0.072042530,4.928585462
0.072539375,4.922556707
0.073036220,4.916527952
0.073533065,4.910499196
0.074029910,4.904470441
0.074526755,4.898441686
0.075023600,4.892412930
0.075520445,4.886384175
0.076017290,4.880355420
0.076514135,4.874326665
0.077010980,4.872297909
0.077507825,4.866269154
0.078004670,4.860240399
0.078501515,4.858211643
0.078998360,4.852182888
0.079495205,4.846154133
0.079992050,4.844125378
0.080488896,4.838096622
0.080985741,4.836067867
0.081482586,4.830039112
0.081979431,4.828010356
0.082476276,4.825981601
0.082973121,4.823952846
0.083469966,4.817924091
0.083966811,4.815895335
0.084463656,4.813866580
0.084960501,4.811837825
0.085457346,4.809809069
0.085954191,4.807780314
0.086451036,4.805751559
0.086947881,4.803722804
0.087444726,4.801694048
0.087941571,4.799665293
0.088438416,4.801636538
0.088935261,4.799607783
0.089432106,4.797579027
0.089928951,4.795550272
0.090425796,4.793521517
0.090922641,4.791492761
0.091419486,4.789464006
0.091916331,4.787435251
0.092413176,4.785406496
0.092910021,4.783377740
0.093406866,4.781348985
0.093903711,4.779320230
0.094400556,4.777291474
0.094897402,4.775262719
0.095394247,4.773233964
0.095891092,4.767205209
0.096387937,4.765176453
0.096884782,4.759147698
0.097381627,4.757118943
0.097878472,4.751090187
0.098375317,4.745061432
0.098872162,4.743032677
0.099369007,4.737003922
0.099865852,4.730975166
0.100362697,4.724946411
0.100859542,4.722917656
0.101356387,4.716888900
0.101853232,4.710860145
0.102350077,4.704831390
0.102846922,4.698802635
0.103343767,4.692773879
0.103840612,4.686745124
0.104337457,4.680716369
0.104834302,4.674687613
0.105331147,4.668658858
0.105827992,4.662630103
0.106324837,4.656601348
0.106821682,4.650572592
0.107318527,4.644543837
0.107815372,4.638515082
0.108312217,4.632486326
0.108809062,4.626457571
0.109305907,4.620428816
0.109802753,4.614400061
0.110299598,4.608371305
0.110796443,4.602342550
0.111293288,4.592313795
0.111790133,4.586285040
0.112286978,4.580256284
0.112783823,4.574227529
0.113280668,4.568198774
0.113777513,4.562170018
0.114274358,4.552141263
0.114771203,4.546112508
0.115268048,4.540083753
0.115764893,4.534054997
0.116261738,4.524026242
0.116758583,4.517997487
0.117255428,4.511968731
0.117752273,4.505939976
0.118249118,4.499911221
0.118745963,4.493882466
0.119242808,4.483853710
0.119739653,4.477824955
0.120236498,4.471796200
0.120733343,4.465767444
0.121230188,4.459738689
0.121727033,4.453709934
0.122223878,4.447681179
0.122720723,4.441652423
0.123217568,4.435623668
0.123714413,4.429594913
0.124211259,4.427566157
0.124708104,4.421537402
0.125204949,4.415508647
0.125701794,4.413479892
0.126198639,4.407451136
0.126695484,4.405422381
0.127192329,4.399393626
0.127689174,4.397364870
0.128186019,4.391336115
0.128682864,4.389307360
0.129179709,4.383278605
0.129676554,4.381249849
0.130173399,4.379221094
0.130670244,4.373192339
0.131167089,4.371163583
0.131663934,4.365134828
0.132160779,4.363106073
0.132657624,4.357077318
0.133154469,4.355048562
0.133651314,4.349019807
0.134148159,4.346991052
0.134645004,4.340962297
0.135141849,4.338933541
0.135638694,4.332904786
0.136135539,4.326876031
0.136632384,4.324847275
0.137129229,4.318818520
0.137626074,4.312789765
0.138122919,4.306761010
0.138619764,4.300732254
0.139116610,4.294703499
0.139613455,4.288674744
0.140110300,4.282645988
0.140607145,4.276617233
0.141103990,4.270588478
0.141600835,4.268559723
0.142097680,4.262530967
0.142594525,4.256502212
0.143091370,4.250473457
0.143588215,4.244444701
0.144085060,4.242415946
0.144581905,4.236387191
0.145078750,4.230358436
0.145575595,4.228329680
0.146072440,4.222300925
0.146569285,4.220272170
0.147066130,4.218243414
0.147562975,4.212214659
0.148059820,4.210185904
0.148556665,4.208157149
0.149053510,4.210128393
0.149550355,4.208099638
0.150047200,4.206070883
0.150544045,4.208042127
0.151040890,4.206013372
0.151537735,4.207984617
0.152034580,4.209955862
0.152531425,4.211927106
0.153028270,4.209898351
0.153525116,4.211869596
0.154021961,4.213840841
0.154518806,4.215812085
0.155015651,4.217783330
0.155512496,4.219754575
0.156009341,4.221725819
0.156506186,4.223697064
0.157003031,4.229668309
0.157499876,4.231639554
0.157996721,4.233610798
0.158493566,4.235582043
0.158990411,4.237553288
0.159487256,4.239524532
0.159984101,4.241495777
0.160480946,4.247467022
0.160977791,4.245438267
0.161474636,4.247409511
0.161971481,4.249380756
0.162468326,4.251352001
0.162965171,4.249323245
0.163462016,4.251294490
0.163958861,4.249265735
0.164455706,4.251236980
0.164952551,4.249208224
0.165449396,4.247179469
0.165946241,4.249150714
0.166443086,4.247121958
0.166939931,4.245093203
0.167436776,4.243064448
0.167933622,4.241035693
0.168430467,4.235006937
0.168927312,4.232978182
0.169424157,4.230949427
0.169921002,4.224920671
0.170417847,4.222891916
0.170914692,4.216863161
0.171411537,4.214834406
0.171908382,4.208805650
0.172405227,4.202776895
0.172902072,4.200748140
0.173398917,4.194719384
0.173895762,4.188690629
0.174392607,4.186661874
0.174889452,4.180633119
0.175386297,4.174604363
0.175883142,4.172575608
0.176379987,4.166546853
0.176876832,4.160518098
0.177373677,4.158489342
0.177870522,4.152460587
0.178367367,4.146431832
0.178864212,4.144403076
0.179361057,4.138374321
0.179857902,4.136345566
0.180354747,4.130316811
0.180851592,4.128288055
0.181348437,4.122259300
0.181845282,4.120230545
0.182342127,4.114201789
0.182838973,4.112173034
0.183335818,4.106144279
0.183832663,4.104115524
0.184329508,4.102086768
0.184826353,4.096058013
0.185323198,4.094029258
0.185820043,4.092000502
0.186316888,4.085971747
0.186813733,4.083942992
0.187310578,4.081914237
0.187807423,4.075885481
0.188304268,4.073856726
0.188801113,4.067827971
0.189297958,4.065799215
0.189794803,4.059770460
0.190291648,4.057741705
0.190788493,4.055712950
0.191285338,4.049684194
0.191782183,4.047655439
0.192279028,4.041626684
0.192775873,4.039597928
0.193272718,4.033569173
0.193769563,4.031540418
0.194266408,4.025511663
0.194763253,4.023482907
0.195260098,4.017454152
0.195756943,4.015425397
0.196253788,4.009396641
0.196750633,4.007367886
0.197247479,4.005339131
0.197744324,3.999310376
0.198241169,3.997281620
0.198738014,3.995252865
0.199234859,3.993224110
0.199731704,3.991195355
0.200228549,3.989166599
0.200725394,3.987137844
0.201222239,3.985109089
0.201719084,3.983080333
0.202215929,3.981051578
0.202712774,3.983022823
0.203209619,3.984994068
0.203706464,3.982965312
0.204203309,3.988936557
0.204700154,3.986907802
0.205196999,3.992879046
0.205693844,3.994850291
0.206190689,3.996821536
0.206687534,3.998792781
0.207184379,4.004764025
0.207681224,4.010735270
0.208178069,4.012706515
0.208674914,4.022677759
0.209171759,4.024649004
0.209668604,4.030620249
0.210165449,4.036591494
0.210662294,4.042562738
0.211159139,4.048533983
0.211655984,4.054505228
0.212152830,4.064476472
0.212649675,4.066447717
0.213146520,4.076418962
0.213643365,4.078390207
0.214140210,4.084361451
0.214637055,4.090332696
0.215133900,4.096303941
0.215630745,4.098275185
0.216127590,4.104246430
0.216624435,4.106217675
0.217121280,4.108188920
0.217618125,4.110160164
0.218114970,4.112131409
0.218611815,4.114102654
0.219108660,4.116073898
0.219605505,4.114045143
0.220102350,4.116016388
0.220599195,4.113987633
0.221096040,4.111958877
0.221592885,4.109930122
0.222089730,4.107901367
0.222586575,4.101872612
0.223083420,4.099843856
0.223580265,4.093815101
0.224077110,4.091786346
0.224573955,4.085757590
0.225070800,4.079728835
0.225567645,4.073700080
0.226064490,4.067671325
0.226561336,4.061642569
0.227058181,4.055613814
0.227555026,4.049585059
0.228051871,4.043556303
0.228548716,4.037527548
0.229045561,4.027498793
0.229542406,4.021470038
0.230039251,4.011441282
0.230536096,4.005412527
0.231032941,3.995383772
0.231529786,3.989355016
0.232026631,3.979326261
0.232523476,3.973297506
0.233020321,3.963268751
0.233517166,3.953239995
0.234014011,3.943211240
0.234510856,3.937182485
0.235007701,3.927153729
0.235504546,3.917124974
0.236001391,3.911096219
0.236498236,3.901067464
0.236995081,3.891038708
0.237491926,3.881009953
0.237988771,3.874981198
0.238485616,3.864952442
0.238982461,3.854923687
0.239479306,3.848894932
0.239976151,3.838866177
0.240472996,3.832837421
0.240969842,3.826808666
0.241466687,3.820779911
