x (mm),altura (µm)
0.000000000,-0.216076929
0.000496845,-0.221481120
0.000993690,-0.226891546
0.001490535,-0.228308216
0.001987380,-0.237731141
0.002484225,-0.243160328
0.002981070,-0.248595787
0.003477915,-0.254037528
0.003974760,-0.259485558
0.004471605,-0.268939888
0.004968450,-0.274400525
0.005465295,-0.283867479
0.005962140,-0.289340758
0.006458985,-0.298820370
0.006955830,-0.304306326
0.007452676,-0.313798629
0.007949521,-0.319297292
0.008446366,-0.328802323
0.008943211,-0.338313727
0.009440056,-0.347831516
0.009936901,-0.353355695
0.010433746,-0.362886271
0.010930591,-0.372423257
0.011427436,-0.377966656
0.011924281,-0.387516478
0.012421126,-0.393072730
0.012917971,-0.402635419
0.013414816,-0.412204554
0.013911661,-0.417780142
0.014408506,-0.427362191
0.014905351,-0.432950706
0.015402196,-0.442545696
0.015899041,-0.448147170
0.016395886,-0.453755134
0.016892731,-0.459369594
0.017389576,-0.464990559
0.017886421,-0.470618035
0.018383266,-0.476252029
0.018880111,-0.481892551
0.019376956,-0.483539603
0.019873801,-0.485193196
0.020370646,-0.486853334
0.020867491,-0.488520027
0.021364336,-0.490193278
0.021861181,-0.487873098
0.022358027,-0.489559492
0.022854872,-0.487252465
0.023351717,-0.484952026
0.023848562,-0.482658181
0.024345407,-0.476370937
0.024842252,-0.474090301
0.025339097,-0.467816279
0.025835942,-0.461548877
0.026332787,-0.455288104
0.026829632,-0.445033963
0.027326477,-0.438786465
0.027823322,-0.428545611
0.028320167,-0.418311412
0.028817012,-0.408083872
0.029313857,-0.397863001
0.029810702,-0.383648802
0.030307547,-0.373441281
0.030804392,-0.359240446
0.031301237,-0.345046304
0.031798082,-0.334858860
0.032294927,-0.320678118
0.032791772,-0.306504088
0.033288617,-0.292336774
0.033785462,-0.278176183
0.034282307,-0.264022320
0.034779152,-0.249875191
0.035275997,-0.235734804
0.035772842,-0.221601160
0.036269687,-0.211474268
0.036766533,-0.193354134
0.037263378,-0.183240762
0.037760223,-0.169134159
