Parámetro,Valor
Ra (Promedio Aritmético),2.868 µm
Rq (RMS),8.364 µm
Rp (Pico Máximo),69.144 µm
Rv (Valle Máximo),-17.872 µm
Rz/Rt (Altura Total),87.016 µm
Rz (ISO 4287:1997),22.978 µm
Rsk (Asimetría),5.764
Rku (Curtosis),43.748
RSm (Anchura Media de Elementos),78.079 µm
Rpk (Altura de picos que se desgastan),4.794 µm
Rk (Profundidad del núcleo funcional),0.637 µm
Rvk (Profundidad de valles para lubricante),2.598 µm
Mr1 (%),24.56
Mr2 (%),55.08

Parámetro (ISO 16610/13565-2),Valor
Ra (ISO 16610),1.673 µm
Rq (ISO 16610),5.816 µm
Rp (ISO 16610),48.803 µm
Rv (ISO 16610),-21.767 µm
Rz/Rt (ISO 16610),70.570 µm
"Rz (ISO 4287:1997, perfil 16610)",18.174 µm
Rsk (ISO 16610),4.362
Rku (ISO 16610),36.718
RSm (ISO 16610),58.515 µm
"Rpk (ISO 13565-2, 16610)",2.452 µm
"Rk (ISO 13565-2, 16610)",0.233 µm
"Rvk (ISO 13565-2, 16610)",2.021 µm
"Mr1 (ISO 13565-2, 16610) (%)",31.18
"Mr2 (ISO 13565-2, 16610) (%)",63.97
λc (mm),0.800
Fuente filtrado,primary
