x (mm),altura (µm)
0.000000000,-0.908073207
0.000447527,-0.920487330
0.000895055,-0.932913038
0.001342582,-0.941350306
0.001790110,-0.953799109
0.002237637,-0.962259419
0.002685164,-0.966731214
0.003132692,-0.975214466
0.003580219,-0.979709150
0.004027747,-0.984215240
0.004475274,-0.984732707
0.004922802,-0.985261526
0.005370329,-0.985801669
0.005817856,-0.986353110
0.006265384,-0.982915819
0.006712911,-0.979489771
0.007160439,-0.976074934
0.007607966,-0.972671281
0.008055493,-0.965278782
0.008503021,-0.957897410
0.008950548,-0.950527137
0.009398076,-0.943167929
0.009845603,-0.931819761
0.010293130,-0.924482598
0.010740658,-0.913156414
0.011188185,-0.901841176
0.011635713,-0.890536851
0.012083240,-0.875243411
0.012530768,-0.867960823
0.012978295,-0.852689057
0.013425822,-0.841428081
0.013873350,-0.826177861
0.014320877,-0.814938364
0.014768405,-0.799709559
0.015215932,-0.788491414
0.015663459,-0.773283896
0.016110987,-0.762086969
0.016558514,-0.750900602
0.017006042,-0.735724760
0.017453569,-0.724559410
0.017901096,-0.709404517
0.018348624,-0.698260046
0.018796151,-0.683125966
0.019243679,-0.672002239
0.019691206,-0.656888832
0.020138733,-0.641785709
0.020586261,-0.630692836
0.021033788,-0.619610178
0.021481316,-0.608537699
0.021928843,-0.593475364
0.022376371,-0.582423136
0.022823898,-0.567380979
0.023271425,-0.556348857
0.023718953,-0.545326733
0.024166480,-0.530314573
0.024614008,-0.519312337
0.025061535,-0.508319990
0.025509062,-0.497337492
0.025956590,-0.482364810
0.026404117,-0.475401901
0.026851645,-0.460448734
0.027299172,-0.453505265
0.027746699,-0.442571459
0.028194227,-0.431647277
0.028641754,-0.420732681
0.029089282,-0.413827631
0.029536809,-0.406932089
0.029984337,-0.396046016
0.030431864,-0.389169370
0.030879391,-0.382302114
0.031326919,-0.375444207
0.031774446,-0.372595610
0.032221974,-0.365756284
0.032669501,-0.362926187
0.033117028,-0.360105278
0.033564556,-0.361293518
0.034012083,-0.358490862
0.034459611,-0.359697273
0.034907138,-0.360912708
0.035354665,-0.362137128
0.035802193,-0.363370489
0.036249720,-0.364612751
0.036697248,-0.369863872
0.037144775,-0.375123807
0.037592303,-0.380392519
0.038039830,-0.385669962
0.038487357,-0.390956095
0.038934885,-0.396250875
0.039382412,-0.401554261
0.039829940,-0.406866209
0.040277467,-0.412186679
0.040724994,-0.417515623
0.041172522,-0.422853003
0.041620049,-0.428198774
0.042067577,-0.429552891
0.042515104,-0.434915312
0.042962631,-0.436285994
0.043410159,-0.437664892
0.043857686,-0.439051964
0.044305214,-0.436447164
0.044752741,-0.433850449
0.045200269,-0.427261774
0.045647796,-0.424681097
0.046095323,-0.414108371
0.046542851,-0.407543555
0.046990378,-0.392986601
0.047437906,-0.378437467
0.047885433,-0.367896108
0.048332960,-0.349362477
0.048780488,-0.330836531
0.049228015,-0.308318223
0.049675543,-0.289807512
0.050123070,-0.267304349
0.050570597,-0.244808693
0.051018125,-0.214320497
0.051465652,-0.183839712
0.051913180,-0.161366298
0.052360707,-0.126900207
0.052808235,-0.100441397
0.053255762,-0.065989818
0.053703289,-0.039545429
0.054150817,-0.001108182
0.054598344,0.033321966
0.055045872,0.063745062
0.055493399,0.098161152
0.055940926,0.128570278
0.056388454,0.162972490
0.056835981,0.189367829
0.057283509,0.223756342
0.057731036,0.250138072
0.058178563,0.284513068
0.058626091,0.314881373
0.059073618,0.341243032
0.059521146,0.367598090
0.059968673,0.389946592
0.060416200,0.416288584
0.060863728,0.434624109
0.061311255,0.460953214
0.061758783,0.475275945
0.062206310,0.497592345
0.062653838,0.515902459
0.063101365,0.530206332
0.063548892,0.544504010
0.063996420,0.554795538
0.064443947,0.569080963
0.064891475,0.579360328
0.065339002,0.589633678
0.065786529,0.595901061
0.066234057,0.602162519
0.066681584,0.612418101
0.067129112,0.614667849
0.067576639,0.620911811
0.068024166,0.623150032
0.068471694,0.625382556
0.068919221,0.623609432
0.069366749,0.625830702
0.069814276,0.624046415
0.070261804,0.626256613
0.070709331,0.624461347
0.071156858,0.622660658
0.071604386,0.620854593
0.072051913,0.619043200
0.072499441,0.613226521
0.072946968,0.611404607
0.073394495,0.605577500
0.073842023,0.603745249
0.074289550,0.597907897
0.074737078,0.592065491
0.075184605,0.586218078
0.075632132,0.584365702
0.076079660,0.574508409
0.076527187,0.568646247
0.076974715,0.562779260
0.077422242,0.556907493
0.077869770,0.551030993
0.078317297,0.541149804
0.078764824,0.535263972
0.079212352,0.529373542
0.079659879,0.519478561
0.080107407,0.513579073
0.080554934,0.503675124
0.081002461,0.493766760
0.081449989,0.487854022
0.081897516,0.477936958
0.082345044,0.468015611
0.082792571,0.458090027
0.083240098,0.452160251
0.083687626,0.442226325
0.084135153,0.432288296
0.084582681,0.426346208
0.085030208,0.416400104
0.085477736,0.406450027
0.085925263,0.400496024
0.086372790,0.390538136
0.086820318,0.384576408
0.087267845,0.374610884
0.087715373,0.368641607
0.088162900,0.362668621
0.088610427,0.356691967
0.089057955,0.346711691
0.089505482,0.340727835
0.089953010,0.334740443
0.090400537,0.332749554
0.090848064,0.326755215
0.091295592,0.320757467
0.091743119,0.314756352
0.092190647,0.312751914
0.092638174,0.306744194
0.093085701,0.300733235
0.093533229,0.298719078
0.093980756,0.292701767
0.094428284,0.290681340
0.094875811,0.284657842
0.095323339,0.278631314
0.095770866,0.276601798
0.096218393,0.270569337
0.096665921,0.268533968
0.097113448,0.262495738
0.097560976,0.256454684
0.098008503,0.250410850
0.098456030,0.244364276
0.098903558,0.238315002
0.099351085,0.232263070
0.099798613,0.222208521
0.100246140,0.216151397
0.100693667,0.206091736
0.101141195,0.196029582
0.101588722,0.189964973
0.102036250,0.179897950
0.102483777,0.169828552
0.102931305,0.155756820
0.103378832,0.145682795
0.103826359,0.135606515
0.104273887,0.125528023
0.104721414,0.111447357
0.105168942,0.101364556
0.105616469,0.087279661
0.106063996,0.073192710
0.106511524,0.059103744
0.106959051,0.045012800
0.107406579,0.030919919
0.107854106,0.012825139
0.108301633,-0.001271502
0.108749161,-0.015369966
0.109196688,-0.033470214
0.109644216,-0.047572207
0.110091743,-0.065675910
0.110539271,-0.079781279
0.110986798,-0.097888283
0.111434325,-0.111996880
0.111881853,-0.130107034
0.112329380,-0.144218707
0.112776908,-0.158331863
0.113224435,-0.176446466
0.113671962,-0.190562476
0.114119490,-0.204679859
0.114567017,-0.218798579
0.115014545,-0.232918598
0.115462072,-0.247039882
0.115909599,-0.261162393
0.116357127,-0.271286094
0.116804654,-0.285410954
0.117252182,-0.295536933
0.117699709,-0.305663998
0.118147237,-0.315792114
0.118594764,-0.325921245
0.119042291,-0.332051357
0.119489819,-0.338182414
0.119937346,-0.344314384
0.120384874,-0.350447230
0.120832401,-0.352580920
0.121279928,-0.354715420
0.121727456,-0.356850694
0.122174983,-0.358986710
0.122622511,-0.361123438
0.123070038,-0.359260840
0.123517565,-0.361398886
0.123965093,-0.359537541
0.124412620,-0.357676774
0.124860148,-0.351816553
0.125307675,-0.349956844
0.125755203,-0.344097614
0.126202730,-0.342238834
0.126650257,-0.336380472
0.127097785,-0.330522495
0.127545312,-0.328664874
0.127992840,-0.322807574
0.128440367,-0.316950568
0.128887894,-0.311093824
0.129335422,-0.301237311
0.129782949,-0.299381001
0.130230477,-0.289524859
0.130678004,-0.287668861
0.131125531,-0.277812972
0.131573059,-0.275957168
0.132020586,-0.266101416
0.132468114,-0.260245688
0.132915641,-0.254389954
0.133363168,-0.244534186
0.133810696,-0.238678356
0.134258223,-0.232822436
0.134705751,-0.226966397
0.135153278,-0.217110211
0.135600806,-0.211253852
0.136048333,-0.201397291
0.136495860,-0.195540502
0.136943388,-0.185683457
0.137390915,-0.175826128
0.137838443,-0.169968490
0.138285970,-0.160110518
0.138733497,-0.154252182
0.139181025,-0.140393459
0.139628552,-0.134534323
0.140076080,-0.124674748
0.140523607,-0.110814708
0.140971134,-0.104954178
0.141418662,-0.091093132
0.141866189,-0.085231547
0.142313717,-0.071369397
0.142761244,-0.065506659
0.143208772,-0.051643306
0.143656299,-0.045779316
0.144103826,-0.031914664
0.144551354,-0.022049328
0.144998881,-0.016183283
0.145446409,-0.002316506
0.145893936,0.003551026
0.146341463,0.013419335
0.146788991,0.019288445
0.147236518,0.029158379
0.147684046,0.035029158
0.148131573,0.044900806
0.148579100,0.050773345
0.149026628,0.056646794
0.149474155,0.062521179
0.149921683,0.068396519
0.150369210,0.074272835
0.150816738,0.080150149
0.151264265,0.086028483
0.151711792,0.087907858
0.152159320,0.093788293
0.152606847,0.095669809
0.153054375,0.097552426
0.153501902,0.103436165
0.153949429,0.101321047
0.154396957,0.107207089
0.154844484,0.105094311
0.155292012,0.106982735
0.155739539,0.108872376
0.156187066,0.110763256
0.156634594,0.112655394
0.157082121,0.110548805
0.157529649,0.112443510
0.157977176,0.110339527
0.158424704,0.108236874
0.158872231,0.106135569
0.159319758,0.108035630
0.159767286,0.105937074
0.160214813,0.103839916
0.160662341,0.101744174
0.161109868,0.095649866
0.161557395,0.093557007
0.162004923,0.091465616
0.162452450,0.089375705
0.162899978,0.087287294
0.163347505,0.081200397
0.163795032,0.079115028
0.164242560,0.073031205
0.164690087,0.070948941
0.165137615,0.068868253
0.165585142,0.062789155
0.166032670,0.060711662
0.166480197,0.054635787
0.166927724,0.052561545
0.167375252,0.050488949
0.167822779,0.048418012
0.168270307,0.042348748
0.168717834,0.040281171
0.169165361,0.038215295
0.169612889,0.036151132
0.170060416,0.034088694
0.170507944,0.032027995
0.170955471,0.033969045
0.171402998,0.031911857
0.171850526,0.033856441
0.172298053,0.031802812
0.172745581,0.033750979
0.173193108,0.031700956
0.173640635,0.033652750
0.174088163,0.035606374
0.174535690,0.037561838
0.174983218,0.039519153
0.175430745,0.041478328
0.175878273,0.047439373
0.176325800,0.049402299
0.176773327,0.051367113
0.177220855,0.053333826
0.177668382,0.055302449
0.178115910,0.057272989
0.178563437,0.063245455
0.179010964,0.065219856
0.179458492,0.067196199
0.179906019,0.069174493
0.180353547,0.071154745
0.180801074,0.073136966
0.181248601,0.071121161
0.181696129,0.073107338
0.182143656,0.075095503
0.182591184,0.073085666
0.183038711,0.075077832
0.183486239,0.073072009
0.183933766,0.071068201
0.184381293,0.069066417
0.184828821,0.067066663
0.185276348,0.065068945
0.185723876,0.063073266
0.186171403,0.057079636
0.186618930,0.055088058
0.187066458,0.049098538
0.187513985,0.047111080
0.187961513,0.041125688
0.188409040,0.035142369
0.188856567,0.029161125
0.189304095,0.023181963
0.189751622,0.017204886
0.190199150,0.011229897
0.190646677,0.009257000
0.191094205,0.003286200
0.191541732,-0.002682502
0.191989259,-0.008649101
0.192436787,-0.014613593
0.192884314,-0.016575977
0.193331842,-0.022536248
0.193779369,-0.024494409
0.194226896,-0.026450450
0.194674424,-0.028404374
0.195121951,-0.030356174
0.195569479,-0.032305851
0.196017006,-0.030253406
0.196464533,-0.032198832
0.196912061,-0.030142129
0.197359588,-0.028083295
0.197807116,-0.022022330
0.198254643,-0.019959231
0.198702171,-0.009893996
0.199149698,-0.003826625
0.199597225,0.002242882
0.200044753,0.012314527
0.200492280,0.018388311
0.200939808,0.032464233
0.201387335,0.038542297
0.201834862,0.052622499
0.202282390,0.062704843
0.202729917,0.080789325
0.203177445,0.094875949
0.203624972,0.104964712
0.204072499,0.123055615
0.204520027,0.133148659
0.204967554,0.151243841
0.205415082,0.165341162
0.205862609,0.179440619
0.206310136,0.193542212
0.206757664,0.211645939
0.207205191,0.225751799
0.207652719,0.239859790
0.208100246,0.253969910
0.208547774,0.264082158
0.208995301,0.282196531
0.209442828,0.292313026
0.209890356,0.302431640
0.210337883,0.312552371
0.210785411,0.326675216
0.211232938,0.336800171
0.211680465,0.342927233
0.212127993,0.353056400
0.212575520,0.359187664
0.213023048,0.365321025
0.213470575,0.371456478
0.213918102,0.377594018
0.214365630,0.383733643
0.214813157,0.385875345
0.215260685,0.388019124
0.215708212,0.390164972
0.216155740,0.392312884
0.216603267,0.394462856
0.217050794,0.396614883
0.217498322,0.394768959
0.217945849,0.396925078
0.218393377,0.395083236
0.218840904,0.393243428
0.219288431,0.391405646
0.219735959,0.389569887
0.220183486,0.387736144
0.220631014,0.385904409
0.221078541,0.384074680
0.221526068,0.382246949
0.221973596,0.380421208
0.222421123,0.378597453
0.222868651,0.376775674
0.223316178,0.374955869
0.223763706,0.373138029
0.224211233,0.371322146
0.224658760,0.369508216
0.225106288,0.367696227
0.225553815,0.365886177
0.226001343,0.364078055
0.226448870,0.362271853
0.226896397,0.360467565
0.227343925,0.362665182
0.227791452,0.360864696
0.228238980,0.363066101
0.228686507,0.361269387
0.229134034,0.363474545
0.229581562,0.361681566
0.230029089,0.363890442
0.230476617,0.366101165
0.230924144,0.368313723
0.231371672,0.370528106
0.231819199,0.372744307
0.232266726,0.374962316
0.232714254,0.377182125
0.233161781,0.379403720
0.233609309,0.381627098
0.234056836,0.383852242
0.234504363,0.390079145
0.234951891,0.388307797
0.235399418,0.394538187
0.235846946,0.396770307
0.236294473,0.399004146
0.236742000,0.401239695
0.237189528,0.403476940
0.237637055,0.405715875
0.238084583,0.407956486
0.238532110,0.410198763
0.238979638,0.408442698
0.239427165,0.410688277
0.239874692,0.412935496
0.240322220,0.411184338
0.240769747,0.413434798
0.241217275,0.411686863
0.241664802,0.409940525
0.242112329,0.408195769
0.242559857,0.406452586
0.243007384,0.404710969
0.243454912,0.402970905
0.243902439,0.401232385
0.244349966,0.399495395
0.244797494,0.393759929
0.245245021,0.392025974
0.245692549,0.386293522
0.246140076,0.380562557
0.246587603,0.374833072
0.247035131,0.373105058
0.247482658,0.363378500
0.247930186,0.357653390
0.248377713,0.351929716
0.248825241,0.346207467
0.249272768,0.336486632
0.249720295,0.326767199
0.250167823,0.321049157
0.250615350,0.311332495
0.251062878,0.301617203
0.251510405,0.287903268
0.251957932,0.278190678
0.252405460,0.268479422
0.252852987,0.254769487
0.253300515,0.241060864
0.253748042,0.227353539
0.254195569,0.217647501
0.254643097,0.199942736
0.255090624,0.186239235
0.255538152,0.172536984
0.255985679,0.154835973
0.256433207,0.137136188
0.256880734,0.123437621
0.257328261,0.105740255
0.257775789,0.088044080
0.258223316,0.070349084
0.258670844,0.052655256
0.259118371,0.034962580
0.259565898,0.017271048
0.260013426,0.003580646
0.260460953,-0.018108639
0.260908481,-0.031796817
0.261356008,-0.049483900
0.261803535,-0.067169901
0.262251063,-0.084854833
0.262698590,-0.098538706
0.263146118,-0.116221535
0.263593645,-0.129903330
0.264041173,-0.143584105
0.264488700,-0.157263869
0.264936227,-0.170942637
0.265383755,-0.180620420
0.265831282,-0.194297230
0.266278810,-0.203973079
0.266726337,-0.213647980
0.267173864,-0.223321946
0.267621392,-0.228994988
0.268068919,-0.238667117
0.268516447,-0.244338346
0.268963974,-0.250008688
0.269411501,-0.255678155
0.269859029,-0.261346758
0.270306556,-0.263014511
0.270754084,-0.268681424
0.271201611,-0.270347513
0.271649139,-0.272012786
0.272096666,-0.273677260
0.272544193,-0.275340942
0.272991721,-0.277003849
0.273439248,-0.278665991
0.273886776,-0.276327378
0.274334303,-0.277988027
0.274781830,-0.279647948
0.275229358,-0.277307155
0.275676885,-0.278965660
0.276124413,-0.276623476
0.276571940,-0.274280614
0.277019467,-0.275937089
0.277466995,-0.273592913
0.277914522,-0.271248099
0.278362050,-0.272902657
0.278809577,-0.266556603
0.279257104,-0.268209948
0.279704632,-0.261862707
0.280152159,-0.263514892
0.280599687,-0.257166514
0.281047214,-0.254817587
0.281494742,-0.252468125
0.281942269,-0.246118139
0.282389796,-0.243767644
0.282837324,-0.237416649
0.283284851,-0.235065170
0.283732379,-0.224713220
0.284179906,-0.222360809
