x (mm),altura (µm)
0.000000000,-3.482376261
0.000447527,-3.494354946
0.000895055,-3.506333631
0.001342582,-3.514312316
0.001790110,-3.522291001
0.002237637,-3.530269686
0.002685164,-3.534248371
0.003132692,-3.542227056
0.003580219,-3.542205741
0.004027747,-3.546184426
0.004475274,-3.546163111
0.004922802,-3.546141796
0.005370329,-3.546120481
0.005817856,-3.542099166
0.006265384,-3.538077851
0.006712911,-3.534056536
0.007160439,-3.530035220
0.007607966,-3.526013905
0.008055493,-3.513992590
0.008503021,-3.505971275
0.008950548,-3.497949960
0.009398076,-3.489928645
0.009845603,-3.477907330
0.010293130,-3.465886015
0.010740658,-3.453864700
0.011188185,-3.441843385
0.011635713,-3.429822070
0.012083240,-3.413800755
0.012530768,-3.401779440
0.012978295,-3.385758125
0.013425822,-3.373736810
0.013873350,-3.357715495
0.014320877,-3.345694180
0.014768405,-3.325672864
0.015215932,-3.313651549
0.015663459,-3.297630234
0.016110987,-3.285608919
0.016558514,-3.273587604
0.017006042,-3.253566289
0.017453569,-3.241544974
0.017901096,-3.225523659
0.018348624,-3.213502344
0.018796151,-3.197481029
0.019243679,-3.181459714
0.019691206,-3.165438399
0.020138733,-3.149417084
0.020586261,-3.137395769
0.021033788,-3.125374454
0.021481316,-3.109353139
0.021928843,-3.093331824
0.022376371,-3.081310509
0.022823898,-3.065289193
0.023271425,-3.053267878
0.023718953,-3.037246563
0.024166480,-3.021225248
0.024614008,-3.009203933
0.025061535,-2.997182618
0.025509062,-2.985161303
0.025956590,-2.969139988
0.026404117,-2.957118673
0.026851645,-2.941097358
0.027299172,-2.933076043
0.027746699,-2.921054728
0.028194227,-2.909033413
0.028641754,-2.893012098
0.029089282,-2.884990783
0.029536809,-2.876969468
0.029984337,-2.864948153
0.030431864,-2.856926837
0.030879391,-2.844905522
0.031326919,-2.836884207
0.031774446,-2.832862892
0.032221974,-2.824841577
0.032669501,-2.820820262
0.033117028,-2.816798947
0.033564556,-2.812777632
0.034012083,-2.808756317
0.034459611,-2.808735002
0.034907138,-2.808713687
0.035354665,-2.808692372
0.035802193,-2.804671057
0.036249720,-2.804649742
0.036697248,-2.808628427
0.037144775,-2.812607112
0.037592303,-2.816585797
0.038039830,-2.820564481
0.038487357,-2.820543166
0.038934885,-2.824521851
0.039382412,-2.828500536
0.039829940,-2.832479221
0.040277467,-2.836457906
0.040724994,-2.840436591
0.041172522,-2.840415276
0.041620049,-2.844393961
0.042067577,-2.844372646
0.042515104,-2.848351331
0.042962631,-2.848330016
0.043410159,-2.848308701
0.043857686,-2.844287386
0.044305214,-2.840266071
0.044752741,-2.836244756
0.045200269,-2.828223441
0.045647796,-2.824202125
0.046095323,-2.808180810
0.046542851,-2.800159495
0.046990378,-2.784138180
0.047437906,-2.768116865
0.047885433,-2.756095550
0.048332960,-2.736074235
0.048780488,-2.712052920
0.049228015,-2.688031605
0.049675543,-2.668010290
0.050123070,-2.643988975
0.050570597,-2.619967660
0.051018125,-2.587946345
0.051465652,-2.551925030
0.051913180,-2.527903715
0.052360707,-2.491882400
0.052808235,-2.463861085
0.053255762,-2.427839770
0.053703289,-2.399818454
0.054150817,-2.359797139
0.054598344,-2.319775824
0.055045872,-2.287754509
0.055493399,-2.251733194
0.055940926,-2.219711879
0.056388454,-2.183690564
0.056835981,-2.155669249
0.057283509,-2.115647934
0.057731036,-2.087626619
0.058178563,-2.051605304
0.058626091,-2.019583989
0.059073618,-1.991562674
0.059521146,-1.963541359
0.059968673,-1.935520044
0.060416200,-1.907498729
0.060863728,-1.887477414
0.061311255,-1.859456098
0.061758783,-1.843434783
0.062206310,-1.819413468
0.062653838,-1.799392153
0.063101365,-1.779370838
0.063548892,-1.763349523
0.063996420,-1.751328208
0.064443947,-1.735306893
0.064891475,-1.723285578
0.065339002,-1.711264263
0.065786529,-1.699242948
0.066234057,-1.691221633
0.066681584,-1.679200318
0.067129112,-1.675179003
0.067576639,-1.667157688
0.068024166,-1.663136373
0.068471694,-1.659115058
0.068919221,-1.655093742
0.069366749,-1.651072427
0.069814276,-1.651051112
0.070261804,-1.647029797
0.070709331,-1.647008482
0.071156858,-1.646987167
0.071604386,-1.646965852
0.072051913,-1.642944537
0.072499441,-1.646923222
0.072946968,-1.646901907
0.073394495,-1.650880592
0.073842023,-1.650859277
0.074289550,-1.654837962
0.074737078,-1.658816647
0.075184605,-1.658795332
0.075632132,-1.658774017
0.076079660,-1.666752702
0.076527187,-1.670731387
0.076974715,-1.674710071
0.077422242,-1.678688756
0.077869770,-1.682667441
0.078317297,-1.686646126
0.078764824,-1.690624811
0.079212352,-1.694603496
0.079659879,-1.702582181
0.080107407,-1.706560866
0.080554934,-1.714539551
0.081002461,-1.722518236
0.081449989,-1.722496921
0.081897516,-1.730475606
0.082345044,-1.738454291
0.082792571,-1.746432976
0.083240098,-1.750411661
0.083687626,-1.758390346
0.084135153,-1.766369031
0.084582681,-1.766347715
0.085030208,-1.774326400
0.085477736,-1.782305085
0.085925263,-1.786283770
0.086372790,-1.794262455
0.086820318,-1.798241140
0.087267845,-1.806219825
0.087715373,-1.810198510
0.088162900,-1.810177195
0.088610427,-1.814155880
0.089057955,-1.822134565
0.089505482,-1.826113250
0.089953010,-1.830091935
0.090400537,-1.830070620
0.090848064,-1.834049305
0.091295592,-1.838027990
0.091743119,-1.838006675
0.092190647,-1.837985359
0.092638174,-1.841964044
0.093085701,-1.845942729
0.093533229,-1.845921414
0.093980756,-1.849900099
0.094428284,-1.849878784
0.094875811,-1.853857469
0.095323339,-1.853836154
0.095770866,-1.853814839
0.096218393,-1.857793524
0.096665921,-1.857772209
0.097113448,-1.861750894
0.097560976,-1.865729579
0.098008503,-1.869708264
0.098456030,-1.873686949
0.098903558,-1.873665634
0.099351085,-1.877644319
0.099798613,-1.885623004
0.100246140,-1.889601688
0.100693667,-1.897580373
0.101141195,-1.905559058
0.101588722,-1.909537743
0.102036250,-1.917516428
0.102483777,-1.921495113
0.102931305,-1.933473798
0.103378832,-1.941452483
0.103826359,-1.949431168
0.104273887,-1.957409853
0.104721414,-1.969388538
0.105168942,-1.977367223
0.105616469,-1.989345908
0.106063996,-2.001324593
0.106511524,-2.009303278
0.106959051,-2.021281963
0.107406579,-2.033260648
0.107854106,-2.049239332
0.108301633,-2.061218017
0.108749161,-2.073196702
0.109196688,-2.089175387
0.109644216,-2.101154072
0.110091743,-2.117132757
0.110539271,-2.125111442
0.110986798,-2.141090127
0.111434325,-2.153068812
0.111881853,-2.169047497
0.112329380,-2.181026182
0.112776908,-2.193004867
0.113224435,-2.208983552
0.113671962,-2.220962237
0.114119490,-2.232940922
0.114567017,-2.240919607
0.115014545,-2.252898292
0.115462072,-2.264876976
0.115909599,-2.276855661
0.116357127,-2.284834346
0.116804654,-2.296813031
0.117252182,-2.304791716
0.117699709,-2.312770401
0.118147237,-2.320749086
0.118594764,-2.328727771
0.119042291,-2.328706456
0.119489819,-2.332685141
0.119937346,-2.336663826
0.120384874,-2.340642511
0.120832401,-2.340621196
0.121279928,-2.340599881
0.121727456,-2.340578566
0.122174983,-2.340557251
0.122622511,-2.340535936
0.123070038,-2.336514620
0.123517565,-2.332493305
0.123965093,-2.328471990
0.124412620,-2.324450675
0.124860148,-2.316429360
0.125307675,-2.312408045
0.125755203,-2.304386730
0.126202730,-2.300365415
0.126650257,-2.292344100
0.127097785,-2.284322785
0.127545312,-2.280301470
0.127992840,-2.268280155
0.128440367,-2.260258840
0.128887894,-2.252237525
0.129335422,-2.240216210
0.129782949,-2.236194895
0.130230477,-2.224173580
0.130678004,-2.220152265
0.131125531,-2.208130949
0.131573059,-2.204109634
0.132020586,-2.192088319
0.132468114,-2.184067004
