Parámetro,Valor
Ra (Promedio Aritmético),3.728 µm
Rq (RMS),4.415 µm
Rp (Pico Máximo),10.076 µm
Rv (Valle Máximo),-7.668 µm
Rt (Altura Total del Perfil),17.744 µm
Rz (ISO 4287:1997),11.897 µm
Rsk (Asimetría),0.427
Rku (Curtosis),2.210
RSm (Anchura Media de Elementos),911.584 µm
Rdq (Pendiente RMS),44.844 µm/mm
Rda (Pendiente Media Absoluta),34.044 µm/mm
Pc (Conteo de Picos),72.40 1/mm
Rpk (Altura de picos que se desgastan),2.135 µm
Rk (Profundidad del núcleo funcional),3.038 µm
Rvk (Profundidad de valles para lubricante),0.373 µm
Mr1 (%),47.65
Mr2 (%),77.14
