x (mm),altura (µm)
0.000000000,-4.442729618
0.000203500,-4.447312063
0.000406900,-4.459896188
0.000610400,-4.464478634
0.000813800,-4.469062759
0.001017300,-4.485645205
0.001220700,-4.490229330
0.001424200,-4.494811775
0.001627600,-4.499395900
0.001831100,-4.511978346
0.002034500,-4.516562471
0.002238000,-4.521144917
0.002441400,-4.533729042
0.002644900,-4.542311488
0.002848300,-4.546895613
0.003051800,-4.559478058
0.003255200,-4.564062183
0.003458700,-4.568644629
0.003662100,-4.577228754
0.003865600,-4.589811200
0.004069000,-4.594395325
0.004272500,-4.598977771
0.004475900,-4.615561896
0.004679400,-4.620144341
0.004882800,-4.624728466
0.005086300,-4.641310912
0.005289700,-4.645895037
0.005493200,-4.650477483
0.005696600,-4.659061608
0.005900100,-4.671644054
0.006103500,-4.676228179
0.006307000,-4.684810624
0.006510400,-4.697394749
0.006713900,-4.705977195
0.006917300,-4.710561320
0.007120800,-4.723143766
0.007324200,-4.731727891
0.007527700,-4.736310337
0.007731100,-4.748894462
0.007934600,-4.757476907
0.008138000,-4.762061032
0.008341500,-4.766643478
0.008544900,-4.783227603
0.008748400,-4.787810049
0.008951800,-4.792394174
0.009155300,-4.804976620
0.009358700,-4.809560745
0.009562200,-4.814143190
0.009765600,-4.830727315
0.009969100,-4.835309761
0.010172500,-4.839893886
0.010376000,-4.844476332
0.010579400,-4.857060457
0.010782900,-4.861642903
0.010986300,-4.862227028
0.011189800,-4.874809473
0.011393200,-4.879393598
0.011596700,-4.883976044
0.011800100,-4.892560169
0.012003600,-4.897142615
0.012207000,-4.897726740
0.012410500,-4.902309186
0.012613900,-4.910893311
0.012817400,-4.911475756
0.013020800,-4.912059881
0.013224300,-4.920642327
0.013427700,-4.921226452
0.013631200,-4.921808898
0.013834600,-4.926393023
0.014038100,-4.926975469
0.014241500,-4.927559594
0.014445000,-4.928142039
0.014648400,-4.928726164
0.014851900,-4.929308610
0.015055300,-4.929892735
0.015258800,-4.930475181
0.015462200,-4.927059306
0.015665700,-4.923641752
0.015869100,-4.924225877
0.016072600,-4.920808322
0.016276000,-4.917392447
0.016479500,-4.913974893
0.016682900,-4.906559018
0.016886400,-4.903141464
0.017089800,-4.899725589
0.017293300,-4.892308034
0.017496700,-4.884892160
0.017700200,-4.881474605
0.017903600,-4.870058730
0.018107100,-4.866641176
0.018310500,-4.859225301
0.018514000,-4.847807747
0.018717400,-4.840391872
0.018920900,-4.828974317
0.019124300,-4.821558443
0.019327800,-4.810140888
0.019531300,-4.798723334
0.019734700,-4.791307459
0.019938200,-4.771889905
0.020141600,-4.764474030
0.020345100,-4.753056475
0.020548500,-4.733640600
0.020752000,-4.722223046
0.020955400,-4.710807171
0.021158900,-4.699389617
0.021362300,-4.679973742
0.021565800,-4.668556188
0.021769200,-4.657140313
0.021972700,-4.633722758
0.022176100,-4.622306883
0.022379600,-4.606889329
0.022583000,-4.587473454
0.022786500,-4.572055900
0.022989900,-4.556640025
0.023193400,-4.545222471
0.023396800,-4.517806596
0.023600300,-4.506389041
0.023803700,-4.490973166
0.024007200,-4.463555612
0.024210600,-4.452139737
0.024414100,-4.436722183
0.024617500,-4.409306308
0.024821000,-4.393888754
0.025024400,-4.378472879
0.025227900,-4.351055324
0.025431300,-4.335639449
0.025634800,-4.320221895
0.025838200,-4.304806020
0.026041700,-4.277388466
0.026245100,-4.261972591
0.026448600,-4.246555037
0.026652000,-4.215139162
0.026855500,-4.199721607
0.027058900,-4.184305732
0.027262400,-4.156888178
0.027465800,-4.141472303
0.027669300,-4.126054749
0.027872700,-4.106638874
0.028076200,-4.079221320
0.028279600,-4.063805445
0.028483100,-4.048387890
0.028686500,-4.016972015
0.028890000,-4.001554461
0.029093400,-3.986138586
0.029296900,-3.954721032
0.029500300,-3.939305157
0.029703800,-3.923887603
0.029907200,-3.908471728
0.030110700,-3.881054173
0.030314100,-3.865638298
0.030517600,-3.846220744
0.030721000,-3.818804869
0.030924500,-3.803387315
0.031127900,-3.787971440
0.031331400,-3.760553886
0.031534800,-3.745138011
0.031738300,-3.729720456
0.031941700,-3.714304581
0.032145200,-3.686887027
0.032348600,-3.671471152
0.032552100,-3.656053598
0.032755500,-3.628637723
0.032959000,-3.613220168
0.033162400,-3.597804294
0.033365900,-3.570386739
0.033569300,-3.554970864
0.033772800,-3.539553310
0.033976200,-3.524137435
0.034179700,-3.500719881
0.034383100,-3.485304006
0.034586600,-3.469886451
0.034790000,-3.442470577
0.034993500,-3.431053022
0.035196900,-3.415637147
0.035400400,-3.388219593
0.035603800,-3.376803718
0.035807300,-3.361386164
0.036010700,-3.333970289
0.036214200,-3.322552734
0.036417600,-3.307136860
0.036621100,-3.295719305
0.036824500,-3.268303430
0.037028000,-3.256885876
0.037231400,-3.241470001
0.037434900,-3.218052447
0.037638300,-3.206636572
0.037841800,-3.191219017
0.038045200,-3.167803143
0.038248700,-3.156385588
0.038452100,-3.140969713
0.038655600,-3.129552159
0.038859000,-3.106136284
0.039062500,-3.090718730
0.039266000,-3.079301175
0.039469400,-3.055885300
0.039672900,-3.044467746
0.039876300,-3.029051871
0.040079800,-3.005634317
0.040283200,-2.994218442
0.040486700,-2.982800888
0.040690100,-2.967385013
0.040893600,-2.947967458
0.041097000,-2.932551583
0.041300500,-2.921134029
0.041503900,-2.901718154
0.041707400,-2.886300600
0.041910800,-2.874884725
0.042114300,-2.851467171
0.042317700,-2.840051296
0.042521200,-2.828633741
0.042724600,-2.817217866
0.042928100,-2.793800312
0.043131500,-2.782384437
0.043335000,-2.770966883
0.043538400,-2.751551008
0.043741900,-2.740133454
0.043945300,-2.724717579
0.044148800,-2.705300024
0.044352200,-2.693884149
0.044555700,-2.682466595
0.044759100,-2.663050720
0.044962600,-2.651633166
0.045166000,-2.640217291
0.045369500,-2.628799737
0.045572900,-2.609383862
0.045776400,-2.597966307
0.045979800,-2.586550432
0.046183300,-2.567132878
0.046386700,-2.555717003
0.046590200,-2.544299449
0.046793600,-2.524883574
0.046997100,-2.513466020
0.047200500,-2.502050145
0.047404000,-2.490632590
0.047607400,-2.475216715
0.047810900,-2.463799161
0.048014300,-2.452383286
0.048217800,-2.432965732
0.048421200,-2.425549857
0.048624700,-2.414132302
0.048828100,-2.394716428
0.049031600,-2.387298873
0.049235000,-2.375882998
0.049438500,-2.364465444
0.049641900,-2.349049569
0.049845400,-2.337632015
0.050048800,-2.330216140
0.050252300,-2.314798585
0.050455700,-2.303382711
0.050659200,-2.295965156
0.050862600,-2.280549281
0.051066100,-2.269131727
0.051269500,-2.261715852
0.051473000,-2.250298298
0.051676400,-2.234882423
0.051879900,-2.227464868
0.052083300,-2.216048994
0.052286800,-2.204631439
0.052490200,-2.193215564
0.052693700,-2.185798010
0.052897100,-2.170382135
0.053100600,-2.162964581
0.053304000,-2.155548706
0.053507500,-2.144131151
0.053710900,-2.132715277
0.053914400,-2.125297722
0.054117800,-2.113881847
0.054321300,-2.102464293
0.054524700,-2.095048418
0.054728200,-2.087630864
0.054931600,-2.072214989
0.055135100,-2.064797434
0.055338500,-2.057381559
0.055542000,-2.045964005
0.055745400,-2.038548130
0.055948900,-2.031130576
0.056152300,-2.023714701
0.056355800,-2.012297147
0.056559200,-2.004881272
0.056762700,-1.997463717
0.056966100,-1.986047842
0.057169600,-1.978630288
0.057373000,-1.971214413
0.057576500,-1.959796859
0.057779900,-1.952380984
0.057983400,-1.944963430
0.058186800,-1.941547555
0.058390300,-1.930130000
0.058593800,-1.922712446
0.058797200,-1.915296571
0.059000700,-1.907879017
0.059204100,-1.900463142
0.059407600,-1.893045588
0.059611000,-1.885629713
0.059814500,-1.878212158
0.060017900,-1.870796283
0.060221400,-1.863378729
0.060424800,-1.855962854
0.060628300,-1.848545300
0.060831700,-1.845129425
0.061035200,-1.833711871
0.061238600,-1.830295996
0.061442100,-1.822878441
0.061645500,-1.815462566
0.061849000,-1.808045012
0.062052400,-1.804629137
0.062255900,-1.797211583
0.062459300,-1.789795708
0.062662800,-1.782378154
0.062866200,-1.778962279
0.063069700,-1.771544724
0.063273100,-1.764128849
0.063476600,-1.760711295
0.063680000,-1.753295420
0.063883500,-1.745877866
0.064086900,-1.742461991
0.064290400,-1.735044436
0.064493800,-1.727628562
0.064697300,-1.724211007
0.064900700,-1.720795132
0.065104200,-1.713377578
0.065307600,-1.705961703
0.065511100,-1.702544149
0.065714500,-1.695128274
0.065918000,-1.691710719
0.066121400,-1.684294845
0.066324900,-1.680877290
0.066528300,-1.673461415
0.066731800,-1.670043861
0.066935200,-1.666627986
0.067138700,-1.659210432
0.067342100,-1.655794557
0.067545600,-1.648377002
0.067749000,-1.644961128
0.067952500,-1.637543573
0.068155900,-1.634127698
0.068359400,-1.630710144
0.068562800,-1.623294269
0.068766300,-1.619876715
0.068969700,-1.616460840
0.069173200,-1.609043285
0.069376600,-1.605627411
0.069580100,-1.602209856
0.069783500,-1.594793981
0.069987000,-1.591376427
0.070190400,-1.587960552
0.070393900,-1.580542998
0.070597300,-1.577127123
0.070800800,-1.573709568
0.071004200,-1.570293693
0.071207700,-1.566876139
0.071411100,-1.559460264
0.071614600,-1.556042710
0.071818000,-1.552626835
0.072021500,-1.549209281
0.072224900,-1.545793406
0.072428400,-1.538375851
0.072631800,-1.534959976
0.072835300,-1.531542422
0.073038700,-1.528126547
0.073242200,-1.524708993
0.073445600,-1.517293118
0.073649100,-1.513875564
0.073852500,-1.510459689
0.074056000,-1.507042134
0.074259400,-1.503626259
0.074462900,-1.500208705
0.074666300,-1.496792830
0.074869800,-1.489375276
0.075073200,-1.485959401
0.075276700,-1.482541847
0.075480100,-1.479125972
0.075683600,-1.475708417
0.075887000,-1.472292542
0.076090500,-1.468874988
0.076293900,-1.465459113
0.076497400,-1.458041559
0.076700800,-1.454625684
0.076904300,-1.451208130
0.077107700,-1.447792255
0.077311200,-1.444374700
0.077514600,-1.440958825
0.077718100,-1.437541271
0.077921500,-1.434125396
0.078125000,-1.430707842
0.078328500,-1.423290288
0.078531900,-1.419874413
0.078735400,-1.416456858
0.078938800,-1.413040983
0.079142300,-1.409623429
0.079345700,-1.406207554
0.079549200,-1.398790000
0.079752600,-1.395374125
0.079956100,-1.391956571
0.080159500,-1.388540696
0.080363000,-1.385123141
0.080566400,-1.377707266
0.080769900,-1.374289712
0.080973300,-1.370873837
0.081176800,-1.367456283
0.081380200,-1.364040408
0.081583700,-1.356622853
0.081787100,-1.353206979
0.081990600,-1.349789424
0.082194000,-1.342373549
0.082397500,-1.338955995
0.082600900,-1.335540120
0.082804400,-1.332122566
0.083007800,-1.324706691
0.083211300,-1.321289136
0.083414700,-1.317873262
0.083618200,-1.310455707
0.083821600,-1.307039832
0.084025100,-1.299622278
0.084228500,-1.296206403
0.084432000,-1.292788849
0.084635400,-1.285372974
0.084838900,-1.281955419
0.085042300,-1.278539545
0.085245800,-1.271121990
0.085449200,-1.267706115
0.085652700,-1.264288561
0.085856100,-1.256872686
0.086059600,-1.253455132
0.086263000,-1.246039257
0.086466500,-1.242621702
0.086669900,-1.239205827
0.086873400,-1.231788273
0.087076800,-1.228372398
0.087280300,-1.220954844
0.087483700,-1.217538969
0.087687200,-1.214121415
0.087890600,-1.206705540
0.088094100,-1.203287985
0.088297500,-1.199872110
0.088501000,-1.196454556
0.088704400,-1.189038681
0.088907900,-1.185621127
0.089111300,-1.182205252
0.089314800,-1.174787698
0.089518200,-1.171371823
0.089721700,-1.167954268
0.089925100,-1.160538393
0.090128600,-1.157120839
0.090332000,-1.153704964
0.090535500,-1.150287410
0.090738900,-1.142871535
0.090942400,-1.139453981
0.091145800,-1.136038106
0.091349300,-1.132620551
0.091552700,-1.129204676
0.091756200,-1.121787122
0.091959600,-1.118371247
0.092163100,-1.114953693
0.092366500,-1.111537818
0.092570000,-1.108120264
0.092773400,-1.104704389
0.092976900,-1.101286834
0.093180300,-1.097870959
0.093383800,-1.094453405
0.093587200,-1.087037530
0.093790700,-1.083619976
0.093994100,-1.080204101
0.094197600,-1.076786547
0.094401000,-1.073370672
0.094604500,-1.073953117
0.094807900,-1.070537242
0.095011400,-1.067119688
0.095214800,-1.063703813
0.095418300,-1.060286259
0.095621700,-1.056870384
0.095825200,-1.053452830
0.096028600,-1.050036955
0.096232100,-1.046619400
0.096435500,-1.043203525
0.096639000,-1.043785971
0.096842400,-1.040370096
0.097045900,-1.036952542
0.097249300,-1.033536667
0.097452800,-1.030119113
0.097656200,-1.026703238
0.097859700,-1.027285683
0.098063200,-1.023868129
0.098266600,-1.020452254
0.098470100,-1.017034700
0.098673500,-1.017618825
0.098877000,-1.014201270
0.099080400,-1.010785396
0.099283900,-1.007367841
0.099487300,-1.007951966
0.099690800,-1.004534412
0.099894200,-1.001118537
0.100097700,-1.001700983
0.100301100,-0.998285108
0.100504600,-0.998867553
0.100708000,-0.995451679
0.100911500,-0.992034124
0.101114900,-0.992618249
0.101318400,-0.989200695
0.101521800,-0.989784820
0.101725300,-0.986367266
0.101928700,-0.982951391
0.102132200,-0.983533836
0.102335600,-0.980117961
0.102539100,-0.980700407
0.102742500,-0.981284532
0.102946000,-0.977866978
0.103149400,-0.974451103
0.103352900,-0.975033549
0.103556300,-0.975617674
0.103759800,-0.972200119
0.103963200,-0.972784244
0.104166700,-0.969366690
0.104370100,-0.969950815
0.104573600,-0.966533261
0.104777000,-0.967117386
0.104980500,-0.967699832
0.105183900,-0.964283957
0.105387400,-0.964866402
0.105590800,-0.965450527
0.105794300,-0.962032973
0.105997700,-0.962617098
0.106201200,-0.963199544
0.106404600,-0.963783669
0.106608100,-0.960366115
0.106811500,-0.960950240
0.107015000,-0.961532685
0.107218400,-0.962116810
0.107421900,-0.962699256
0.107625300,-0.959283381
0.107828800,-0.959865827
0.108032200,-0.960449952
0.108235700,-0.961032398
0.108439100,-0.961616523
0.108642600,-0.958198968
0.108846000,-0.962783093
0.109049500,-0.963365539
0.109252900,-0.959949664
0.109456400,-0.964532110
0.109659800,-0.961116235
0.109863300,-0.961698681
0.110066700,-0.962282806
0.110270200,-0.966865251
0.110473600,-0.963449376
0.110677100,-0.964031822
0.110880500,-0.968615947
0.111084000,-0.969198393
0.111287400,-0.965782518
0.111490900,-0.970364964
0.111694300,-0.970949089
0.111897800,-0.971531534
0.112101200,-0.976115659
0.112304700,-0.972698105
0.112508100,-0.973282230
0.112711600,-0.973864676
0.112915000,-0.978448801
0.113118500,-0.979031247
0.113321900,-0.979615372
0.113525400,-0.984197817
0.113728800,-0.984781942
0.113932300,-0.985364388
0.114135700,-0.989948513
0.114339200,-0.990530959
0.114542600,-0.991115084
0.114746100,-0.991697530
0.114949500,-0.996281655
0.115153000,-0.996864100
0.115356400,-0.997448225
0.115559900,-1.002030671
0.115763300,-1.002614796
0.115966800,-1.003197242
0.116170200,-1.007781367
0.116373700,-1.008363813
0.116577100,-1.008947938
0.116780600,-1.009530383
0.116984000,-1.018114508
0.117187500,-1.018696954
0.117391000,-1.019279400
0.117594400,-1.023863525
0.117797900,-1.024445970
0.118001300,-1.025030096
0.118204800,-1.033612541
0.118408200,-1.034196666
0.118611700,-1.034779112
0.118815100,-1.035363237
0.119018600,-1.043945683
0.119222000,-1.044529808
0.119425500,-1.045112253
0.119628900,-1.053696378
0.119832400,-1.054278824
0.120035800,-1.054862949
0.120239300,-1.063445395
0.120442700,-1.064029520
0.120646200,-1.064611966
0.120849600,-1.073196091
0.121053100,-1.073778536
0.121256500,-1.074362661
0.121460000,-1.078945107
0.121663400,-1.083529232
0.121866900,-1.088111678
0.122070300,-1.088695803
0.122273800,-1.097278249
0.122477200,-1.097862374
0.122680700,-1.102444819
0.122884100,-1.111028944
0.123087600,-1.111611390
0.123291000,-1.116195515
0.123494500,-1.116777961
0.123697900,-1.125362086
0.123901400,-1.125944532
0.124104800,-1.130528657
0.124308300,-1.139111102
0.124511700,-1.143695227
0.124715200,-1.144277673
0.124918600,-1.152861798
0.125122100,-1.157444244
0.125325500,-1.162028369
0.125529000,-1.162610815
0.125732400,-1.175194940
0.125935900,-1.175777385
0.126139300,-1.180361510
0.126342800,-1.188943956
0.126546200,-1.193528081
0.126749700,-1.198110527
0.126953100,-1.206694652
0.127156600,-1.211277098
0.127360000,-1.215861223
0.127563500,-1.220443668
0.127766900,-1.229027793
0.127970400,-1.233610239
0.128173800,-1.238194364
0.128377300,-1.250776810
0.128580700,-1.255360935
0.128784200,-1.255943381
0.128987600,-1.268527506
0.129191100,-1.273109951
0.129394500,-1.277694076
0.129598000,-1.282276522
0.129801400,-1.294860647
0.130004900,-1.299443093
0.130208300,-1.304027218
0.130411800,-1.316609664
0.130615200,-1.321193789
0.130818700,-1.325776234
0.131022100,-1.342360359
0.131225600,-1.346942805
0.131429000,-1.351526930
0.131632500,-1.364109376
0.131835900,-1.368693501
0.132039400,-1.377275947
0.132242800,-1.381860072
0.132446300,-1.394442517
0.132649700,-1.399026642
0.132853200,-1.407609088
0.133056600,-1.420193213
0.133260100,-1.428775659
0.133463500,-1.433359784
0.133667000,-1.449942230
0.133870400,-1.454526355
0.134073900,-1.459108800
0.134277300,-1.467692925
0.134480800,-1.480275371
0.134684200,-1.488859496
0.134887700,-1.493441942
0.135091100,-1.510026067
0.135294600,-1.518608512
0.135498000,-1.523192638
0.135701500,-1.539775083
0.135904900,-1.548359208
0.136108400,-1.552941654
0.136311800,-1.561525779
0.136515300,-1.578108225
0.136718700,-1.586692350
0.136922200,-1.591274795
0.137125700,-1.611857241
0.137329100,-1.616441366
0.137532600,-1.625023812
0.137736000,-1.641607937
0.137939500,-1.650190383
0.138142900,-1.658774508
0.138346400,-1.667356953
0.138549800,-1.683941078
0.138753300,-1.692523524
0.138956700,-1.701107649
0.139160200,-1.721690095
0.139363600,-1.726274220
0.139567100,-1.734856666
0.139770500,-1.755440791
0.139974000,-1.764023236
0.140177400,-1.772607361
0.140380900,-1.793189807
0.140584300,-1.801773932
0.140787800,-1.810356378
0.140991200,-1.818940503
0.141194700,-1.839522949
0.141398100,-1.848107074
0.141601600,-1.856689519
0.141805000,-1.877273644
0.142008500,-1.885856090
0.142211900,-1.894440215
0.142415400,-1.915022661
0.142618800,-1.927606786
0.142822300,-1.936189232
0.143025700,-1.944773357
0.143229200,-1.965355802
0.143432600,-1.977939927
0.143636100,-1.986522373
0.143839500,-2.007106498
0.144043000,-2.019688944
0.144246400,-2.028273069
0.144449900,-2.048855515
0.144653300,-2.061439640
0.144856800,-2.070022085
0.145060200,-2.078606210
0.145263700,-2.103188656
0.145467100,-2.111772781
0.145670600,-2.124355227
0.145874000,-2.148939352
0.146077500,-2.157521798
0.146280900,-2.170105923
0.146484400,-2.190688368
0.146687800,-2.203272493
0.146891300,-2.211854939
0.147094700,-2.224439064
0.147298200,-2.249021510
0.147501600,-2.257605635
0.147705100,-2.270188081
0.147908500,-2.294772206
0.148112000,-2.307354651
0.148315400,-2.315938776
0.148518900,-2.344521222
0.148722300,-2.353105347
0.148925800,-2.365687793
0.149129200,-2.390271918
0.149332700,-2.402854364
0.149536100,-2.415438489
0.149739600,-2.424020934
0.149943000,-2.452605059
0.150146500,-2.465187505
0.150349900,-2.473771630
0.150553400,-2.502354076
0.150756800,-2.514938201
0.150960300,-2.523520646
0.151163700,-2.552104772
0.151367200,-2.564687217
0.151570600,-2.577271342
0.151774100,-2.589853788
0.151977500,-2.618437913
0.152181000,-2.627020359
0.152384400,-2.639604484
0.152587900,-2.668186929
0.152791300,-2.680771055
0.152994800,-2.693353500
0.153198200,-2.721937625
0.153401700,-2.734520071
0.153605100,-2.747104196
0.153808600,-2.759686642
0.154012000,-2.792270767
0.154215500,-2.804853212
0.154418900,-2.817437338
0.154622400,-2.846019783
0.154825800,-2.858603908
0.155029300,-2.871186354
0.155232700,-2.903770479
0.155436200,-2.916352925
0.155639600,-2.928937050
0.155843100,-2.945519495
0.156046500,-2.974103620
0.156250000,-2.986686066
0.156453500,-3.003268512
0.156656900,-3.031852637
0.156860400,-3.048435083
0.157063800,-3.061019208
0.157267300,-3.093601653
0.157470700,-3.106185778
0.157674200,-3.118768224
0.157877600,-3.135352349
0.158081100,-3.167934795
0.158284500,-3.180518920
0.158488000,-3.193101366
0.158691400,-3.225685491
0.158894900,-3.242267936
0.159098300,-3.254852061
0.159301800,-3.287434507
0.159505200,-3.304018632
0.159708700,-3.316601078
0.159912100,-3.349185203
0.160115600,-3.365767649
0.160319000,-3.378351774
0.160522500,-3.394934219
0.160725900,-3.427518344
0.160929400,-3.444100790
0.161132800,-3.456684915
0.161336300,-3.489267361
0.161539700,-3.505851486
0.161743200,-3.522433932
0.161946600,-3.555018057
0.162150100,-3.571600502
0.162353500,-3.584184627
0.162557000,-3.600767073
0.162760400,-3.633351198
0.162963900,-3.649933644
0.163167300,-3.666517769
0.163370800,-3.699100215
0.163574200,-3.715684340
0.163777700,-3.732266785
0.163981100,-3.764850910
0.164184600,-3.781433356
0.164388000,-3.794017481
0.164591500,-3.810599927
0.164794900,-3.847184052
0.164998400,-3.863766498
0.165201800,-3.876350623
0.165405300,-3.912933068
0.165608700,-3.929517193
0.165812200,-3.946099639
0.166015600,-3.978683764
0.166219100,-3.995266210
0.166422500,-4.011850335
0.166626000,-4.028432780
0.166829400,-4.065016906
0.167032900,-4.081599351
0.167236300,-4.098183476
0.167439800,-4.134765922
0.167643200,-4.151350047
0.167846700,-4.163932493
0.168050100,-4.200516618
0.168253600,-4.217099063
0.168457000,-4.233683189
0.168660500,-4.270265634
0.168863900,-4.286849759
0.169067400,-4.303432205
0.169270800,-4.320016330
0.169474300,-4.356598776
0.169677700,-4.373182901
0.169881200,-4.389765346
0.170084600,-4.426349472
0.170288100,-4.442931917
0.170491500,-4.459516042
0.170695000,-4.496098488
0.170898400,-4.512682613
0.171101900,-4.529265059
0.171305300,-4.545849184
0.171508800,-4.582431629
0.171712200,-4.595015755
0.171915700,-4.611598200
0.172119100,-4.648182325
0.172322600,-4.664764771
0.172526000,-4.681348896
0.172729500,-4.713931342
0.172932900,-4.730515467
0.173136400,-4.747097912
0.173339800,-4.763682037
0.173543300,-4.796264483
0.173746700,-4.812848608
0.173950200,-4.829431054
0.174153600,-4.862015179
0.174357100,-4.878597625
0.174560500,-4.891181750
0.174764000,-4.923764195
0.174967400,-4.940348320
0.175170900,-4.952930766
0.175374300,-4.969514891
0.175577800,-5.002097337
0.175781300,-5.014679783
0.175984700,-5.027263908
0.176188200,-5.059846353
0.176391600,-5.072430478
0.176595100,-5.085012924
0.176798500,-5.117597049
0.177002000,-5.130179495
0.177205400,-5.142763620
0.177408900,-5.155346066
0.177612300,-5.183930191
0.177815800,-5.196512636
0.178019200,-5.209096761
0.178222700,-5.237679207
0.178426100,-5.250263332
0.178629600,-5.262845778
0.178833000,-5.291429903
0.179036500,-5.300012349
0.179239900,-5.312596474
0.179443400,-5.337178919
0.179646800,-5.349763044
0.179850300,-5.362345490
0.180053700,-5.370929615
0.180257200,-5.399512061
0.180460600,-5.408096186
0.180664100,-5.420678632
0.180867500,-5.445262757
0.181071000,-5.453845202
0.181274400,-5.466429327
0.181477900,-5.487011773
0.181681300,-5.499595898
0.181884800,-5.508178344
0.182088200,-5.520762469
0.182291700,-5.541344914
0.182495100,-5.553929040
0.182698600,-5.562511485
0.182902000,-5.583095610
0.183105500,-5.595678056
0.183308900,-5.604262181
0.183512400,-5.624844627
0.183715800,-5.637428752
0.183919300,-5.646011197
0.184122700,-5.654595323
0.184326200,-5.675177768
0.184529600,-5.687761893
0.184733100,-5.696344339
0.184936500,-5.716928464
0.185140000,-5.725510910
0.185343400,-5.734095035
0.185546900,-5.758677480
0.185750300,-5.767261606
0.185953800,-5.775844051
0.186157200,-5.784428176
0.186360700,-5.805010622
0.186564100,-5.813594747
0.186767600,-5.822177193
0.186971000,-5.846761318
0.187174500,-5.855343763
0.187377900,-5.863927889
0.187581400,-5.884510334
0.187784800,-5.893094459
0.187988300,-5.901676905
0.188191700,-5.922261030
0.188395200,-5.930843476
0.188598600,-5.939427601
0.188802100,-5.952010046
0.189005500,-5.972594171
0.189209000,-5.981176617
0.189412400,-5.989760742
0.189615900,-6.010343188
0.189819300,-6.018927313
0.190022800,-6.027509759
0.190226200,-6.044093884
0.190429700,-6.052676329
0.190633100,-6.061260454
0.190836600,-6.069842900
0.191040000,-6.090427025
0.191243500,-6.099009471
0.191446900,-6.107593596
0.191650400,-6.124176042
0.191853800,-6.132760167
0.192057300,-6.141342612
0.192260700,-6.157926737
0.192464200,-6.166509183
0.192667600,-6.175093308
0.192871100,-6.183675754
0.193074500,-6.200259879
0.193278000,-6.208842325
0.193481400,-6.213426450
0.193684900,-6.230008895
0.193888300,-6.238593020
0.194091800,-6.243175466
0.194295200,-6.259759591
0.194498700,-6.268342037
0.194702100,-6.272926162
0.194905600,-6.281508608
0.195109000,-6.294092733
0.195312500,-6.302675178
0.195516000,-6.307257624
0.195719400,-6.319841749
0.195922900,-6.324424195
0.196126300,-6.333008320
0.196329800,-6.345590766
0.196533200,-6.350174891
0.196736700,-6.354757336
0.196940100,-6.367341461
0.197143600,-6.371923907
0.197347000,-6.376508032
0.197550500,-6.381090478
0.197753900,-6.389674603
0.197957400,-6.394257048
0.198160800,-6.398841174
0.198364300,-6.407423619
0.198567700,-6.412007744
0.198771200,-6.412590190
0.198974600,-6.421174315
0.199178100,-6.425756761
0.199381500,-6.426340886
0.199585000,-6.430923331
0.199788400,-6.439507457
0.199991900,-6.440089902
0.200195300,-6.440674027
0.200398800,-6.449256473
0.200602200,-6.449840598
0.200805700,-6.450423044
0.201009100,-6.455007169
0.201212600,-6.455589614
0.201416000,-6.456173740
0.201619500,-6.456756185
0.201822900,-6.461340310
0.202026400,-6.461922756
0.202229800,-6.462506881
0.202433300,-6.467089327
0.202636700,-6.463673452
0.202840200,-6.464255897
0.203043600,-6.464840023
0.203247100,-6.465422468
0.203450500,-6.462006593
0.203654000,-6.462589039
0.203857400,-6.463173164
0.204060900,-6.459755610
0.204264300,-6.456339735
0.204467800,-6.456922180
0.204671200,-6.453506305
0.204874700,-6.450088751
0.205078100,-6.450672876
0.205281600,-6.447255322
0.205485000,-6.443839447
0.205688500,-6.440421893
0.205891900,-6.437006018
0.206095400,-6.433588463
0.206298800,-6.430172588
0.206502300,-6.422755034
0.206705700,-6.419339159
0.206909200,-6.415921605
0.207112600,-6.412505730
0.207316100,-6.405088176
0.207519500,-6.401672301
0.207723000,-6.394254746
0.207926400,-6.390838871
0.208129900,-6.387421317
0.208333300,-6.380005442
0.208536800,-6.372587888
0.208740200,-6.369172013
0.208943700,-6.361754459
0.209147100,-6.354338584
0.209350600,-6.350921029
0.209554000,-6.347505154
0.209757500,-6.340087600
0.209960900,-6.332671725
0.210164400,-6.329254171
0.210367800,-6.321838296
0.210571300,-6.314420742
0.210774700,-6.311004867
0.210978200,-6.303587312
0.211181600,-6.296171437
0.211385100,-6.292753883
0.211588500,-6.289338008
0.211792000,-6.281920454
0.211995400,-6.278504579
0.212198900,-6.275087025
0.212402300,-6.267671150
0.212605800,-6.264253595
0.212809200,-6.260837720
0.213012700,-6.257420166
0.213216100,-6.254004291
0.213419600,-6.250586737
0.213623000,-6.247170862
0.213826500,-6.243753308
0.214029900,-6.244337433
0.214233400,-6.240919878
0.214436800,-6.237504003
0.214640300,-6.238086449
0.214843800,-6.238668895
0.215047200,-6.235253020
