x (mm),altura (µm)
0.000000000,-22.656149284
0.000203500,-22.660079276
0.000406900,-22.676011268
0.000610400,-22.679941261
0.000813800,-22.683873253
0.001017300,-22.699803246
0.001220700,-22.703735238
0.001424200,-22.711665231
0.001627600,-22.715597223
0.001831100,-22.731527216
0.002034500,-22.735459208
0.002238000,-22.743389201
0.002441400,-22.759321193
0.002644900,-22.767251186
0.002848300,-22.771183178
0.003051800,-22.787113170
0.003255200,-22.795045163
0.003458700,-22.802975155
0.003662100,-22.806907148
0.003865600,-22.826837140
0.004069000,-22.834769133
0.004272500,-22.838699125
0.004475900,-22.858631118
0.004679400,-22.866561110
0.004882800,-22.874493103
0.005086300,-22.894423095
0.005289700,-22.898355088
0.005493200,-22.906285080
0.005696600,-22.914217072
0.005900100,-22.934147065
0.006103500,-22.946079057
0.006307000,-22.954009050
0.006510400,-22.973941042
0.006713900,-22.981871035
0.006917300,-22.989803027
0.007120800,-23.013733020
0.007324200,-23.021665012
0.007527700,-23.029595005
0.007731100,-23.053526997
0.007934600,-23.061456990
0.008138000,-23.073388982
0.008341500,-23.081318974
0.008544900,-23.105250967
0.008748400,-23.113180959
0.008951800,-23.125112952
0.009155300,-23.149042944
0.009358700,-23.156974937
0.009562200,-23.168904929
0.009765600,-23.192836922
0.009969100,-23.204766914
0.010172500,-23.216698907
0.010376000,-23.224628899
0.010579400,-23.252560892
0.010782900,-23.264490884
0.010986300,-23.276422876
0.011189800,-23.300352869
0.011393200,-23.312284861
0.011596700,-23.324214854
0.011800100,-23.352146846
0.012003600,-23.364076839
0.012207000,-23.376008831
0.012410500,-23.387938824
0.012613900,-23.415870816
0.012817400,-23.427800809
0.013020800,-23.439732801
0.013224300,-23.471662794
0.013427700,-23.483594786
0.013631200,-23.495524778
0.013834600,-23.527456771
0.014038100,-23.539386763
0.014241500,-23.551318756
0.014445000,-23.567248748
0.014648400,-23.595180741
0.014851900,-23.611110733
0.015055300,-23.623042726
0.015258800,-23.654972718
0.015462200,-23.666904711
0.015665700,-23.682834703
0.015869100,-23.714766696
0.016072600,-23.726696688
0.016276000,-23.742628680
0.016479500,-23.774558673
0.016682900,-23.790490665
0.016886400,-23.802420658
0.017089800,-23.818352650
0.017293300,-23.850282643
0.017496700,-23.866214635
0.017700200,-23.878144628
0.017903600,-23.914076620
0.018107100,-23.926006613
0.018310500,-23.941938605
0.018514000,-23.977868597
0.018717400,-23.989800590
0.018920900,-24.005730582
0.019124300,-24.021662575
0.019327800,-24.053592567
0.019531300,-24.069522560
0.019734700,-24.085454552
0.019938200,-24.117384545
0.020141600,-24.133316537
0.020345100,-24.145246530
0.020548500,-24.181178522
0.020752000,-24.197108515
0.020955400,-24.209040507
0.021158900,-24.224970499
0.021362300,-24.256902492
0.021565800,-24.272832484
0.021769200,-24.288764477
0.021972700,-24.320694469
0.022176100,-24.336626462
0.022379600,-24.348556454
0.022583000,-24.380488447
0.022786500,-24.396418439
0.022989900,-24.412350432
0.023193400,-24.424280424
