Parámetro,Valor
Ra (Promedio Aritmético),3.658 µm
Rq (RMS),4.516 µm
Rp (Pico Máximo),11.640 µm
Rv (Valle Máximo),-9.388 µm
Rt (Altura Total del Perfil),21.028 µm
Rz (ISO 4287:1997),10.158 µm
Rsk (Asimetría),0.517
Rku (Curtosis),2.876
RSm (Anchura Media de Elementos),369.688 µm
Rdq (Pendiente RMS),43.512 µm/mm
Rda (Pendiente Media Absoluta),33.691 µm/mm
Pc (Conteo de Picos),85.80 1/mm
Rpk (Altura de picos que se desgastan),2.290 µm
Rk (Profundidad del núcleo funcional),12.998 µm
Rvk (Profundidad de valles para lubricante),0.550 µm
Mr1 (%),13.70
Mr2 (%),98.85
